Id,Name,Duration,CalcPrio,LastRun,LastResults,Verdict,Cycle,DurationGroup,TimeGroup
1,78082,57262,0,2015-02-13 16:13:00,[],1,1,1,2
2,78083,57145,0,2015-02-13 16:13:00,[],1,1,1,2
3,78084,56861,0,2015-02-13 16:13:00,[],1,1,1,2
4,78085,55332,0,2015-02-13 16:13:00,[],1,1,1,2
5,78086,59120,0,2015-02-13 16:13:00,[],1,1,0,2
6,78098,54792,0,2015-02-13 16:13:00,[],1,1,1,2
7,78087,56098,0,2015-02-13 16:13:00,[],1,1,1,2
8,78097,56062,0,2015-02-13 16:13:00,[],1,1,1,2
9,78096,57046,0,2015-02-13 16:13:00,[],1,1,1,2
10,78088,63852,0,2015-02-13 16:13:00,[],1,1,0,2
11,78095,57176,0,2015-02-13 16:13:00,[],1,1,1,2
12,78094,56819,0,2015-02-13 16:13:00,[],1,1,1,2
13,78089,62456,0,2015-02-13 16:13:00,[],1,1,0,2
14,78093,57542,0,2015-02-13 16:13:00,[],1,1,1,2
15,78092,57052,0,2015-02-13 16:13:00,[],1,1,1,2
16,78090,59522,0,2015-02-13 16:13:00,[],1,1,0,2
17,78081,56285,0,2015-02-13 16:13:00,[],1,1,1,2
18,78080,55577,0,2015-02-13 16:13:00,[],1,1,1,2
19,78091,57323,0,2015-02-13 16:13:00,[],1,1,1,2
20,78074,54015,0,2015-02-13 16:13:00,[],1,1,1,2
21,78076,57319,0,2015-02-13 16:13:00,[],1,1,1,2
22,78079,59348,0,2015-02-13 16:13:00,[],1,1,0,2
23,78077,59096,0,2015-02-13 16:13:00,[],1,1,0,2
24,78078,58661,0,2015-02-13 16:13:00,[],1,1,0,2
25,78075,61690,0,2015-02-13 16:13:00,[],1,1,0,2
26,78074,54015,0,2015-02-13 16:17:00,[1],1,1,1,2
27,78089,62456,0,2015-02-13 16:17:00,[1],1,1,0,2
28,78096,57046,0,2015-02-13 16:17:00,[1],1,1,1,2
29,78076,57319,0,2015-02-13 16:17:00,[1],1,1,1,2
30,78088,63852,0,2015-02-13 16:17:00,[1],1,1,0,2
