Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;78082;57262;0;2015-02-13 16:13:00;[];1;1
2;78083;57145;0;2015-02-13 16:13:00;[];1;1
3;78084;56861;0;2015-02-13 16:13:00;[];1;1
4;78085;55332;0;2015-02-13 16:13:00;[];1;1
5;78086;59120;0;2015-02-13 16:13:00;[];1;1
6;78098;54792;0;2015-02-13 16:13:00;[];1;1
7;78087;56098;0;2015-02-13 16:13:00;[];1;1
8;78097;56062;0;2015-02-13 16:13:00;[];1;1
9;78096;57046;0;2015-02-13 16:13:00;[];1;1
10;78088;63852;0;2015-02-13 16:13:00;[];1;1
11;78095;57176;0;2015-02-13 16:13:00;[];1;1
12;78094;56819;0;2015-02-13 16:13:00;[];1;1
13;78089;62456;0;2015-02-13 16:13:00;[];1;1
14;78093;57542;0;2015-02-13 16:13:00;[];1;1
15;78092;57052;0;2015-02-13 16:13:00;[];1;1
16;78090;59522;0;2015-02-13 16:13:00;[];1;1
17;78081;56285;0;2015-02-13 16:13:00;[];1;1
18;78080;55577;0;2015-02-13 16:13:00;[];1;1
19;78091;57323;0;2015-02-13 16:13:00;[];1;1
20;78074;54015;0;2015-02-13 16:13:00;[];1;1
21;78076;57319;0;2015-02-13 16:13:00;[];1;1
22;78079;59348;0;2015-02-13 16:13:00;[];1;1
23;78077;59096;0;2015-02-13 16:13:00;[];1;1
24;78078;58661;0;2015-02-13 16:13:00;[];1;1
25;78075;61690;0;2015-02-13 16:13:00;[];1;1
26;78074;54015;0;2015-02-13 16:17:00;[1];1;1
27;78089;62456;0;2015-02-13 16:17:00;[1];1;1
28;78096;57046;0;2015-02-13 16:17:00;[1];1;1
29;78076;57319;0;2015-02-13 16:17:00;[1];1;1
30;78088;63852;0;2015-02-13 16:17:00;[1];1;1
31;78075;61690;0;2015-02-13 16:17:00;[1];1;1
32;78097;56062;0;2015-02-13 16:17:00;[1];1;1
33;78080;55577;0;2015-02-13 16:17:00;[1];1;1
34;78094;56819;0;2015-02-13 16:17:00;[1];1;1
35;78079;59348;0;2015-02-13 16:17:00;[1];1;1
36;78098;54792;0;2015-02-13 16:17:00;[1];1;1
37;78077;59096;0;2015-02-13 16:17:00;[1];1;1
38;78092;57052;0;2015-02-13 16:17:00;[1];1;1
39;78087;56098;0;2015-02-13 16:17:00;[1];1;1
40;78095;57176;0;2015-02-13 16:17:00;[1];1;1
41;78085;55332;0;2015-02-13 16:17:00;[1];1;1
42;78091;57323;0;2015-02-13 16:17:00;[1];1;1
43;78078;58661;0;2015-02-13 16:17:00;[1];1;1
44;78084;56861;0;2015-02-13 16:17:00;[1];1;1
45;78093;57542;0;2015-02-13 16:17:00;[1];1;1
46;78081;56285;0;2015-02-13 16:17:00;[1];1;1
47;78083;57145;0;2015-02-13 16:17:00;[1];1;1
48;78090;59522;0;2015-02-13 16:17:00;[1];1;1
49;78082;57262;0;2015-02-13 16:17:00;[1];1;1
50;78086;59120;0;2015-02-13 16:17:00;[1];1;1
51;78075;61690;0;2015-02-13 16:19:00;[1, 1];0;1
52;78090;59522;0;2015-02-13 16:19:00;[1, 1];0;1
53;78074;54015;0;2015-02-13 16:19:00;[1, 1];0;1
54;78080;55577;0;2015-02-13 16:19:00;[1, 1];0;1
55;78076;57319;0;2015-02-13 16:19:00;[1, 1];0;1
56;78088;63852;0;2015-02-13 16:19:00;[1, 1];0;1
57;78077;59096;0;2015-02-13 16:19:00;[1, 1];0;1
58;78087;56098;0;2015-02-13 16:19:00;[1, 1];0;1
59;78086;59120;0;2015-02-13 16:19:00;[1, 1];0;1
60;78078;58661;0;2015-02-13 16:19:00;[1, 1];0;1
61;78084;56861;0;2015-02-13 16:19:00;[1, 1];0;1
62;78083;57145;0;2015-02-13 16:19:00;[1, 1];0;1
63;78082;57262;0;2015-02-13 16:19:00;[1, 1];0;1
64;78079;59348;0;2015-02-13 16:19:00;[1, 1];0;1
65;78081;56285;0;2015-02-13 16:19:00;[1, 1];1;1
66;78089;62456;0;2015-02-13 16:19:00;[1, 1];0;1
67;78085;55332;0;2015-02-13 16:19:00;[1, 1];0;1
68;78091;57323;0;2015-02-13 16:19:00;[1, 1];0;1
69;78092;57052;0;2015-02-13 16:19:00;[1, 1];0;1
70;78093;57542;0;2015-02-13 16:19:00;[1, 1];0;1
71;78098;54792;0;2015-02-13 16:19:00;[1, 1];1;1
72;78094;56819;0;2015-02-13 16:19:00;[1, 1];0;1
73;78095;57176;0;2015-02-13 16:19:00;[1, 1];0;1
74;78097;56062;0;2015-02-13 16:19:00;[1, 1];0;1
75;78096;57046;0;2015-02-13 16:19:00;[1, 1];0;1
76;78234;56234;0;2015-02-13 16:54:00;[];0;1
77;78284;54963;0;2015-02-13 16:54:00;[];1;1
78;78241;54977;0;2015-02-13 16:54:00;[];0;1
79;78283;54665;0;2015-02-13 16:54:00;[];1;1
80;78242;56751;0;2015-02-13 16:54:00;[];0;1
81;78281;59402;0;2015-02-13 16:54:00;[];1;1
82;78240;57381;0;2015-02-13 16:54:00;[];0;1
83;78243;55845;0;2015-02-13 16:54:00;[];0;1
84;78280;57234;0;2015-02-13 16:54:00;[];1;1
85;78279;55504;0;2015-02-13 16:54:00;[];1;1
86;78278;55764;0;2015-02-13 16:54:00;[];1;1
87;78277;55361;0;2015-02-13 16:54:00;[];1;1
88;78282;57595;0;2015-02-13 16:54:00;[];1;1
89;78285;57158;0;2015-02-13 16:54:00;[];1;1
90;78288;58444;0;2015-02-13 16:54:00;[];1;1
91;78239;57275;0;2015-02-13 16:54:00;[];0;1
92;78287;56015;0;2015-02-13 16:54:00;[];1;1
93;78276;59072;0;2015-02-13 16:54:00;[];1;1
94;78289;57466;0;2015-02-13 16:54:00;[];1;1
95;78237;58740;0;2015-02-13 16:54:00;[];0;1
96;78236;55042;0;2015-02-13 16:54:00;[];0;1
97;78290;55925;0;2015-02-13 16:54:00;[];1;1
98;78291;60362;0;2015-02-13 16:54:00;[];1;1
99;78292;55544;0;2015-02-13 16:54:00;[];1;1
100;78293;59936;0;2015-02-13 16:54:00;[];1;1
101;78235;57310;0;2015-02-13 16:54:00;[];0;1
102;78294;58425;0;2015-02-13 16:54:00;[];1;1
103;78295;54629;0;2015-02-13 16:54:00;[];1;1
104;78286;55782;0;2015-02-13 16:54:00;[];1;1
105;78275;55244;0;2015-02-13 16:54:00;[];1;1
106;78271;59205;0;2015-02-13 16:54:00;[];1;1
107;78273;54746;0;2015-02-13 16:54:00;[];1;1
108;78251;58937;0;2015-02-13 16:54:00;[];1;1
109;78253;55691;0;2015-02-13 16:54:00;[];1;1
110;78250;58901;0;2015-02-13 16:54:00;[];1;1
111;78249;55620;0;2015-02-13 16:54:00;[];1;1
112;78254;57733;0;2015-02-13 16:54:00;[];1;1
113;78248;57267;0;2015-02-13 16:54:00;[];1;1
114;78255;58286;0;2015-02-13 16:54:00;[];1;1
115;78247;60208;0;2015-02-13 16:54:00;[];1;1
116;78256;56852;0;2015-02-13 16:54:00;[];1;1
117;78257;57101;0;2015-02-13 16:54:00;[];1;1
118;78258;57786;0;2015-02-13 16:54:00;[];1;1
119;78259;56426;0;2015-02-13 16:54:00;[];1;1
120;78246;54984;0;2015-02-13 16:54:00;[];0;1
121;78274;58926;0;2015-02-13 16:54:00;[];1;1
122;78260;55928;0;2015-02-13 16:54:00;[];1;1
123;78262;55465;0;2015-02-13 16:54:00;[];1;1
124;78263;55051;0;2015-02-13 16:54:00;[];1;1
125;78264;56054;0;2015-02-13 16:54:00;[];1;1
126;78265;55599;0;2015-02-13 16:54:00;[];1;1
127;78266;57499;0;2015-02-13 16:54:00;[];1;1
128;78267;56626;0;2015-02-13 16:54:00;[];1;1
129;78268;56810;0;2015-02-13 16:54:00;[];1;1
130;78269;57451;0;2015-02-13 16:54:00;[];1;1
131;78245;56448;0;2015-02-13 16:54:00;[];0;1
132;78244;55593;0;2015-02-13 16:54:00;[];0;1
133;78270;55204;0;2015-02-13 16:54:00;[];1;1
134;78252;56140;0;2015-02-13 16:54:00;[];1;1
135;78272;55891;0;2015-02-13 16:54:00;[];1;1
136;78261;55639;0;2015-02-13 16:54:00;[];1;1
137;78233;57533;0;2015-02-13 16:54:00;[];0;1
138;78209;55956;0;2015-02-13 16:54:00;[];1;1
139;78231;57525;0;2015-02-13 16:54:00;[];0;1
140;78183;56291;0;2015-02-13 16:54:00;[];0;1
141;78182;55779;0;2015-02-13 16:54:00;[];0;1
142;78181;56434;0;2015-02-13 16:54:00;[];0;1
143;78155;55184;0;2015-02-13 16:54:00;[];1;1
144;78180;57479;0;2015-02-13 16:54:00;[];0;1
145;78179;58366;0;2015-02-13 16:54:00;[];0;1
146;78178;58936;0;2015-02-13 16:54:00;[];0;1
147;78177;56648;0;2015-02-13 16:54:00;[];1;1
148;78156;55566;0;2015-02-13 16:54:00;[];1;1
149;78176;58800;0;2015-02-13 16:54:00;[];0;1
150;78175;57176;0;2015-02-13 16:54:00;[];0;1
151;78174;59629;0;2015-02-13 16:54:00;[];1;1
152;78157;55266;0;2015-02-13 16:54:00;[];1;1
153;78184;55118;0;2015-02-13 16:54:00;[];0;1
154;78173;58233;0;2015-02-13 16:54:00;[];0;1
155;78171;57288;0;2015-02-13 16:54:00;[];0;1
156;78158;55287;0;2015-02-13 16:54:00;[];1;1
157;78170;56625;0;2015-02-13 16:54:00;[];0;1
158;78169;55875;0;2015-02-13 16:54:00;[];0;1
159;78168;60127;0;2015-02-13 16:54:00;[];0;1
160;78159;55802;0;2015-02-13 16:54:00;[];1;1
161;78167;56715;0;2015-02-13 16:54:00;[];0;1
162;78166;59311;0;2015-02-13 16:54:00;[];1;1
163;78165;54860;0;2015-02-13 16:54:00;[];1;1
164;78160;54744;0;2015-02-13 16:54:00;[];1;1
165;78164;55455;0;2015-02-13 16:54:00;[];1;1
166;78163;56846;0;2015-02-13 16:54:00;[];1;1
167;78162;54636;0;2015-02-13 16:54:00;[];1;1
168;78172;58013;0;2015-02-13 16:54:00;[];0;1
