TestTargetsPerCommit,RLMLP,RL,RRF,RF,kNN,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,,,,
3,0.928571428571429,0.928571428571429,0,0,0,0,0,0,0,0,,,,
3,0.821428571428572,0.904761904761905,1,0,0,0,0,0,0,0,,,,
2,0.8,0.8,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.8,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.98,0,0,0,0,0,0,0,,,,
3,0.807142857142857,0.785714285714286,0.757142857142857,0,0,0,0,0,0,0,,,,
2,0.8,0.8,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.92,0,0,0,0,0,0,0,,,,
3,0.957142857142857,1,0.807142857142857,0,0,0,0,0,0,0,,,,
2,1,1,0.92,0,0,0,0,0,0,0,,,,
3,0.778571428571429,0.738095238095238,0.778571428571429,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
3,0.914285714285714,0.928571428571429,0.857142857142857,0,0,0,0,0,0,0,,,,
3,0.821428571428572,0.904761904761905,0.935714285714286,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.88,0,0,0,0,0,0,0,,,,
3,0.785714285714286,0.785714285714286,0.978571428571428,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,1,1,1,0,0,0,0,0,0,0,,,,
3,0.928571428571429,0.904761904761905,0.928571428571428,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
4,0.836666666666667,0.833333333333333,0.713333333333333,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.8,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,1,1,0.8,0,0,0,0,0,0,0,,,,
4,0.763333333333333,0.766666666666667,0.766666666666666,0,0,0,0,0,0,0,,,,
4,0.873333333333333,0.822222222222222,0.933333333333333,0,0,0,0,0,0,0,,,,
3,0.785714285714286,0.785714285714286,0.957142857142857,0,0,0,0,0,0,0,,,,
3,0.928571428571429,0.928571428571429,0.928571428571428,0,0,0,0,0,0,0,,,,
3,0.928571428571429,0.928571428571429,0.928571428571428,0,0,0,0,0,0,0,,,,
4,0.9,0.944444444444445,0.96,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
3,0.785714285714286,0.809523809523809,0.928571428571428,0,0,0,0,0,0,0,,,,
2,1,1,0.8,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
3,0.785714285714286,0.809523809523809,0.928571428571428,0,0,0,0,0,0,0,,,,
3,0.785714285714286,0.809523809523809,0.928571428571428,0,0,0,0,0,0,0,,,,
3,0.785714285714286,0.785714285714286,0.928571428571428,0,0,0,0,0,0,0,,,,
3,0.928571428571429,0.928571428571429,0.935714285714286,0,0,0,0,0,0,0,,,,
3,0.785714285714286,0.833333333333333,0.928571428571428,0,0,0,0,0,0,0,,,,
3,0.935714285714286,0.928571428571429,0.928571428571428,0,0,0,0,0,0,0,,,,
3,0.928571428571429,0.928571428571429,0.928571428571428,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
4,0.86,0.870370370370371,0.933333333333333,0,0,0,0,0,0,0,,,,
3,0.807142857142857,0.785714285714286,0.928571428571428,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
3,0.907142857142857,0.928571428571429,0.928571428571428,0,0,0,0,0,0,0,,,,
8,0.734803921568628,0.69281045751634,0.819117647058823,0,0,0,0,0,0,0,,,,
27,0.730707070707071,0.752188552188552,0.730880230880231,0,0,0,0,0,0,0,,,,
9,0.807719298245614,0.742300194931774,0.778245614035088,0,0,0,0,0,0,0,,,,
3,0.8,0.80952380952381,0.95,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,0.82,0.8,0.98,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.84,0,0,0,0,0,0,0,,,,
3,1,0.968253968253968,0.778571428571429,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
