TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,imaging,normal,RPA
13,0.765201465201465,0,0,0,0,0,0,0,0.794383394383394,0,,,
4,0.89,0,1,0,0,0,0,0,0.926666666666667,0,,,
3,0.821428571428572,0,0.942857142857143,0,0,0,0,0,0.864285714285714,0,,,
9,0.821052631578947,0,0.778245614035088,0,0,0,0,0,0.790877192982456,0,,,
39,0.758704965920156,0,0.868573515092503,0,0,0,0,0,0.769406037000974,0,,,
38,0.744208423155792,0,0.926878384773122,0,0,0,0,0,0.751138335348862,0,,,
3,0.785714285714286,0,0.928571428571429,0,0,0,0,0,0.785714285714286,0,,,
3,0.785714285714286,0,0.95,0,0,0,0,0,0.785714285714286,0,,,
3,0.828571428571429,0,0.992857142857143,0,0,0,0,0,0.785714285714286,0,,,
7,0.8,0,0.864285714285714,0,0,0,0,0,0.78,0,,,
7,0.832142857142857,0,0.932142857142857,0,0,0,0,0,0.848571428571428,0,,,
3,0.978571428571428,0,0.942857142857143,0,0,0,0,0,1,0,,,
3,0.785714285714286,0,0.928571428571429,0,0,0,0,0,0.785714285714286,0,,,
2,0.8,0,1,0,0,0,0,0,0.8,0,,,
3,0.907142857142857,0,0.935714285714286,0,0,0,0,0,0.864285714285714,0,,,
3,0.914285714285714,0,0.928571428571429,0,0,0,0,0,0.864285714285714,0,,,
3,0.885714285714286,0,0.928571428571429,0,0,0,0,0,0.885714285714286,0,,,
3,0.785714285714286,0,1,0,0,0,0,0,0.785714285714286,0,,,
4,0.81,0,0.966666666666667,0,0,0,0,0,0.82,0,,,
13,0.770573870573871,0,0.906959706959707,0,0,0,0,0,0.796947496947497,0,,,
3,0.807142857142857,0,0.95,0,0,0,0,0,0.785714285714286,0,,,
10,0.836883116883117,0,0.958961038961039,0,0,0,0,0,0.836363636363637,0,,,
10,0.851948051948052,0,0.931428571428572,0,0,0,0,0,0.888831168831169,0,,,
7,0.878571428571428,0,0.890714285714286,0,0,0,0,0,0.898571428571428,0,,,
5,0.781818181818182,0,0.909090909090909,0,0,0,0,0,0.838181818181818,0,,,
5,0.790909090909091,0,0.909090909090909,0,0,0,0,0,0.829090909090909,0,,,
7,0.819285714285714,0,0.915714285714286,0,0,0,0,0,0.812857142857143,0,,,
5,0.78,0,0.914545454545455,0,0,0,0,0,0.729090909090909,0,,,
40,0.768238482384824,0,0.916106594399277,0,0,0,0,0,0.777831978319783,0,,,
38,0.752936537147064,0,0.925411430674589,0,0,0,0,0,0.75554971344445,0,,,
40,0.758468834688347,0,0.935325203252033,0,0,0,0,0,0.759060523938573,0,,,
39,0.786246348588121,0,0.933792599805258,0,0,0,0,0,0.764133398247322,0,,,
40,0.752366757000904,0,0.933405600722674,0,0,0,0,0,0.766540198735321,0,,,
11,0.817588932806324,0,0.928853754940712,0,0,0,0,0,0.769367588932806,0,,,
11,0.836758893280633,0,0.954940711462451,0,0,0,0,0,0.831422924901186,0,,,
7,0.663571428571429,0,0.939285714285714,0,0,0,0,0,0.672142857142857,0,,,
36,0.774139207700851,0,0.894755029001604,0,0,0,0,0,0.78156238430211,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
11,0.801976284584981,0,0.967193675889328,0,0,0,0,0,0.763833992094862,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
7,0.83,0,0.928571428571428,0,0,0,0,0,0.830714285714286,0,,,
7,0.910714285714286,0,0.85,0,0,0,0,0,0.878571428571429,0,,,
36,0.747457731704307,0,0.893144514377391,0,0,0,0,0,0.738214241638899,0,,,
5,0.88,0,0.927272727272727,0,0,0,0,0,0.867272727272727,0,,,
12,0.696307692307692,0,0.933538461538461,0,0,0,0,0,0.686923076923077,0,,,
40,0.821671183378501,0,0.908712737127371,0,0,0,0,0,0.791373080397471,0,,,
11,0.796442687747036,0,0.884584980237154,0,0,0,0,0,0.810276679841897,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
14,0.769458128078818,0,0.927586206896552,0,0,0,0,0,0.800689655172414,0,,,
52,0.735987974289861,0,0.881312461123782,0,0,0,0,0,0.758034418411777,0,,,
49,0.780356215213358,0,0.877286332714904,0,0,0,0,0,0.780828695114409,0,,,
44,0.740892066734764,0,0.894586312563841,0,0,0,0,0,0.736101464078992,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
20,0.735679442508711,0,0.907491289198606,0,0,0,0,0,0.754703832752613,0,,,
45,0.75573817486861,0,0.903280777193821,0,0,0,0,0,0.734100971492276,0,,,
44,0.731103166496425,0,0.898798093292476,0,0,0,0,0,0.759782090568608,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
46,0.741398346811495,0,0.900981767180926,0,0,0,0,0,0.746250484915401,0,,,
49,0.787601731601732,0,0.909006802721088,0,0,0,0,0,0.797350649350649,0,,,
45,0.703994266602962,0,0.917365822583214,0,0,0,0,0,0.715773212294952,0,,,
5,0.810909090909091,0,0.909090909090909,0,0,0,0,0,0.776363636363636,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
5,0.843636363636363,0,0.912727272727273,0,0,0,0,0,0.736363636363636,0,,,
44,0.776574736125298,0,0.921784133469527,0,0,0,0,0,0.764589717398706,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
8,0.804411764705882,0,0.894607843137255,0,0,0,0,0,0.809803921568628,0,,,
8,0.856862745098039,0,0.916176470588235,0,0,0,0,0,0.850980392156863,0,,,
8,0.87843137254902,0,0.915196078431373,0,0,0,0,0,0.827941176470588,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
14,0.804827586206896,0,0.93192118226601,0,0,0,0,0,0.826009852216749,0,,,
3,0.807142857142857,0,1,0,0,0,0,0,0.785714285714286,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
3,0.785714285714286,0,1,0,0,0,0,0,0.785714285714286,0,,,
37,0.755573257467994,0,0.877422475106685,0,0,0,0,0,0.747118065433855,0,,,
48,0.813312644645487,0,0.914964233115927,0,0,0,0,0,0.827124973700821,0,,,
43,0.756761682583655,0,0.915134504629292,0,0,0,0,0,0.741605307282934,0,,,
4,0.78,0,0.953333333333333,0,0,0,0,0,0.83,0,,,
49,0.764991960420532,0,0.945234384662956,0,0,0,0,0,0.761659863945578,0,,,
9,0.816842105263158,0,0.865263157894737,0,0,0,0,0,0.835438596491228,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
2,1,0,0.8,0,0,0,0,0,1,0,,,
50,0.74788584740827,0,0.926755969714619,0,0,0,0,0,0.733146185206756,0,,,
46,0.738957357285668,0,0.925528930798842,0,0,0,0,0,0.72657336397004,0,,,
45,0.81259436215958,0,0.918563465519987,0,0,0,0,0,0.809571587832457,0,,,
46,0.768490943272358,0,0.921011011309719,0,0,0,0,0,0.770875234997464,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
41,0.752138869065111,0,0.931203559884136,0,0,0,0,0,0.800818605432182,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
40,0.747949412827462,0,0.920085817524842,0,0,0,0,0,0.71829268292683,0,,,
