TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,io,normal,RPA
1,1,0,0,0,0,0,0,0,1,0,,,
21,0.758864391422531,0,0,0,0,0,0,0,0.762186650558744,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
42,0.749794801641587,0,0.889536837991011,0,0,0,0,0,0.754316982606996,0,,,
10,0.835324675324676,0,0.872207792207792,0,0,0,0,0,0.848311688311688,0,,,
10,0.801558441558442,0,0.942597402597403,0,0,0,0,0,0.817402597402597,0,,,
26,0.785179809708112,0,0.924092888243832,0,0,0,0,0,0.7870343492985,0,,,
2,0.8,0,1,0,0,0,0,0,0.8,0,,,
4,0.726666666666667,0,0.933333333333333,0,0,0,0,0,0.77,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
21,0.746813651464814,0,0.931833282996074,0,0,0,0,0,0.80338266384778,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
26,0.797710046766651,0,0.880470891791647,0,0,0,0,0,0.817174649250121,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
22,0.792832674571805,0,0.829090909090909,0,0,0,0,0,0.796811594202899,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
21,0.797885835095138,0,0.842434309876171,0,0,0,0,0,0.825853216550891,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
2,1,0,0.8,0,0,0,0,0,1,0,,,
37,0.734884779516358,0,0.859032716927454,0,0,0,0,0,0.721815078236131,0,,,
61,0.704117062852278,0,0.912896776773162,0,0,0,0,0,0.726567437541113,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
5,0.725454545454546,0,0.929090909090909,0,0,0,0,0,0.716363636363636,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
22,0.752542819499341,0,0.900105401844532,0,0,0,0,0,0.73296442687747,0,,,
22,0.740764163372859,0,0.899472990777339,0,0,0,0,0,0.75836627140975,0,,,
22,0.737075098814229,0,0.900131752305665,0,0,0,0,0,0.737839262187088,0,,,
22,0.769169960474308,0,0.900790513833992,0,0,0,0,0,0.737127799736495,0,,,
22,0.739156785243742,0,0.897470355731225,0,0,0,0,0,0.737733860342556,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
3,0.957142857142857,0,1,0,0,0,0,0,0.978571428571428,0,,,
25,0.72537556561086,0,0.908217194570136,0,0,0,0,0,0.742588235294118,0,,,
26,0.815868408321239,0,0.90482180293501,0,0,0,0,0,0.812223834865344,0,,,
15,0.70241935483871,0,0.926532258064516,0,0,0,0,0,0.694193548387097,0,,,
26,0.80690211256249,0,0.893823576842445,0,0,0,0,0,0.829592001290115,0,,,
22,0.754993412384717,0,0.893148880105402,0,0,0,0,0,0.769565217391304,0,,,
22,0.7633465085639,0,0.887220026350461,0,0,0,0,0,0.757444005270092,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
22,0.742766798418972,0,0.884664031620553,0,0,0,0,0,0.740764163372859,0,,,
22,0.761422924901186,0,0.892252964426877,0,0,0,0,0,0.756916996047431,0,,,
26,0.807031124012256,0,0.881841638445412,0,0,0,0,0,0.819206579583938,0,,,
22,0.745164690382082,0,0.883820816864295,0,0,0,0,0,0.760158102766799,0,,,
22,0.730434782608696,0,0.897733860342556,0,0,0,0,0,0.730592885375494,0,,,
22,0.723504611330698,0,0.880316205533597,0,0,0,0,0,0.706772068511199,0,,,
3,1,0,0.942857142857143,0,0,0,0,0,0.978571428571428,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
