TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,lang,normal,RPA
11,0.789723320158103,0,0,0,0,0,0,0,0.783794466403162,0,,,
15,0.826290322580645,0,0.925967741935484,0,0,0,0,0,0.79741935483871,0,,,
85,0.760434396524828,0,0.863847169222646,0,0,0,0,0,0.758715050279598,0,,,
11,0.758498023715415,0,0.935770750988142,0,0,0,0,0,0.761462450592885,0,,,
2,0.8,0,1,0,0,0,0,0,0.8,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
11,0.796245059288538,0,0.953557312252964,0,0,0,0,0,0.820750988142292,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
3,0.978571428571428,0,0.928571428571429,0,0,0,0,0,0.935714285714286,0,,,
7,0.836428571428571,0,0.817857142857143,0,0,0,0,0,0.814285714285714,0,,,
57,0.744237355006707,0,0.939024698177227,0,0,0,0,0,0.752319103606092,0,,,
6,0.762637362637363,0,0.935164835164835,0,0,0,0,0,0.8,0,,,
57,0.755609563639233,0,0.960871143375681,0,0,0,0,0,0.739504458297167,0,,,
57,0.756291328020201,0,0.947882900654936,0,0,0,0,0,0.726945474631106,0,,,
45,0.773422519509476,0,0.933065774804905,0,0,0,0,0,0.753505335244466,0,,,
7,0.802142857142857,0,0.946428571428571,0,0,0,0,0,0.787857142857143,0,,,
38,0.787764866712235,0,0.901577369998423,0,0,0,0,0,0.803012776696987,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
19,0.757206477732793,0,0.882267206477733,0,0,0,0,0,0.772793522267206,0,,,
9,0.768070175438597,0,0.772631578947369,0,0,0,0,0,0.792631578947369,0,,,
45,0.76232839624144,0,0.931304347826087,0,0,0,0,0,0.755152094282529,0,,,
23,0.823889916743756,0,0.871970397779834,0,0,0,0,0,0.827705827937095,0,,,
21,0.812624584717608,0,0.880277861673211,0,0,0,0,0,0.758109332527937,0,,,
21,0.777348233162187,0,0.919389912413169,0,0,0,0,0,0.749290244639082,0,,,
21,0.754575656901239,0,0.96118997281788,0,0,0,0,0,0.802295379039565,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
3,0.8,0,0.914285714285714,0,0,0,0,0,0.842857142857143,0,,,
2,1,0,0.8,0,0,0,0,0,1,0,,,
6,0.775824175824176,0,0.984615384615385,0,0,0,0,0,0.759340659340659,0,,,
22,0.795889328063241,0,0.863847167325428,0,0,0,0,0,0.809749670619236,0,,,
3,0.907142857142857,0,0.714285714285714,0,0,0,0,0,0.842857142857143,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
21,0.770643310178194,0,0.909966777408638,0,0,0,0,0,0.745998187858653,0,,,
2,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
4,0.846666666666667,0,0.95,0,0,0,0,0,0.856666666666667,0,,,
11,0.785375494071146,0,0.793083003952569,0,0,0,0,0,0.790513833992095,0,,,
10,0.768311688311689,0,0.86987012987013,0,0,0,0,0,0.764675324675325,0,,,
21,0.789157354273633,0,0.949803684687406,0,0,0,0,0,0.803171247357294,0,,,
102,0.764036439107966,0,0.894967614324916,0,0,0,0,0,0.758389213132566,0,,,
24,0.741020408163265,0,0.808367346938776,0,0,0,0,0,0.780367346938776,0,,,
32,0.749178321678322,0,0.905865384615385,0,0,0,0,0,0.736162587412587,0,,,
113,0.751201451056592,0,0.915026807203577,0,0,0,0,0,0.761480726102809,0,,,
33,0.742222044855934,0,0.907095538351026,0,0,0,0,0,0.656141751137361,0,,,
15,0.830806451612903,0,0.942338709677419,0,0,0,0,0,0.83241935483871,0,,,
108,0.754753684052293,0,0.927541725973215,0,0,0,0,0,0.770754942995251,0,,,
2,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
24,0.720612244897959,0,0.920551020408163,0,0,0,0,0,0.724571428571429,0,,,
57,0.782548725637181,0,0.927046476761619,0,0,0,0,0,0.770733054525369,0,,,
4,0.89,0,0.7,0,0,0,0,0,0.906666666666667,0,,,
3,0.842857142857143,0,0.714285714285714,0,0,0,0,0,0.842857142857143,0,,,
24,0.788918367346939,0,0.889489795918368,0,0,0,0,0,0.802428571428571,0,,,
40,0.748211382113821,0,0.921928635953026,0,0,0,0,0,0.753396567299006,0,,,
4,0.89,0,0.75,0,0,0,0,0,0.83,0,,,
15,0.801048387096774,0,0.908629032258065,0,0,0,0,0,0.773306451612903,0,,,
2,1,0,1,0,0,0,0,0,1,0,,,
2,1,0,1,0,0,0,0,0,1,0,,,
5,0.818181818181818,0,0.972727272727273,0,0,0,0,0,0.861818181818182,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
113,0.756653582808919,0,0.918228693248853,0,0,0,0,0,0.774844727506263,0,,,
5,0.86,0,0.976363636363636,0,0,0,0,0,0.852727272727273,0,,,
111,0.761523278563637,0,0.916357757501255,0,0,0,0,0,0.772155539588275,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
4,0.776666666666667,0,0.906666666666667,0,0,0,0,0,0.786666666666667,0,,,
58,0.763429693236824,0,0.891711249981268,0,0,0,0,0,0.761016949152542,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
56,0.764674961740635,0,0.931866724332956,0,0,0,0,0,0.752084303679553,0,,,
56,0.768006853416728,0,0.932959611417925,0,0,0,0,0,0.75896766251913,0,,,
45,0.751638795986622,0,0.944542124542124,0,0,0,0,0,0.774333492594362,0,,,
56,0.738934726196021,0,0.923283318916761,0,0,0,0,0,0.7121515070863,0,,,
56,0.776615210592854,0,0.935695987757003,0,0,0,0,0,0.775144720207599,0,,,
18,0.807444286391655,0,0.873115220483642,0,0,0,0,0,0.793788525367473,0,,,
25,0.761339366515837,0,0.935384615384615,0,0,0,0,0,0.73889592760181,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
3,0.864285714285714,0,0.728571428571429,0,0,0,0,0,0.885714285714286,0,,,
6,0.745054945054945,0,0.850549450549451,0,0,0,0,0,0.758241758241758,0,,,
56,0.730106793532504,0,0.896688069731852,0,0,0,0,0,0.726848093685541,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
56,0.744652006121499,0,0.914774768780358,0,0,0,0,0,0.733229090425178,0,,,
111,0.744524689648008,0.902966523538273,0.902668291289368,0.935771854493828,0.64325038523469,0.764314282251502,0.659114046782208,0.908339032498225,0.770977110999533,0.838099710857559,,,
37,0.812403982930299,0.89128307254623,0.890850640113798,0.956813655761024,0.684796586059744,0.724836415362731,0.637120910384068,0.935231863442389,0.824950213371266,0.870440967283073,,,
98,0.75395747592992,0.917106944300562,0.914280691510569,0.967938998395851,0.643740209512508,0.763056860953888,0.650611051988862,0.923271145098556,0.767898188347789,0.881597493635202,,,
102,0.735806995305819,0.911513420902342,0.90603028234737,0.968057277374602,0.650548954604338,0.766639272332187,0.646012174227968,0.931793957459849,0.735957431990082,0.836742767199231,,,
7,0.815,0.886428571428571,0.887142857142857,0.957142857142857,1,0.978571428571428,0.707857142857143,0.947142857142857,0.749285714285714,0.721428571428571,,,
7,0.758571428571429,0.926428571428571,0.908571428571429,0.985714285714286,1,0.964285714285714,0.699285714285714,0.958571428571429,0.772857142857143,0.75,,,
4,0.79,0.7,0.7,0.9,1,1,0.77,0.966666666666667,0.86,0.666666666666667,,,
56,0.770156031672101,0.907119568833589,0.898333222436623,0.967529443076718,0.664147647880764,0.753909109055825,0.646819482334154,0.931558985960476,0.768708829596114,0.879848958679886,,,
66,0.699056324665123,0.910861958151825,0.923377643566174,0.944675120637415,0.662083635139409,0.760785954030259,0.645217861478663,0.933158200793707,0.687590414298977,0.881800838595811,,,
1,1,1,1,1,1,1,1,1,1,1,,,
7,0.8,0.873571428571428,0.92,0.978571428571428,1,0.978571428571428,0.696428571428572,0.974285714285715,0.749285714285714,0.821428571428572,,,
7,0.772857142857143,0.934285714285714,0.914285714285714,0.992857142857143,0.928571428571429,0.921428571428572,0.706428571428571,0.957857142857143,0.761428571428571,0.635714285714286,,,
1,1,1,1,1,1,1,1,1,1,1,,,
44,0.748014981273408,0.90467824310521,0.910143003064352,0.915832482124617,0.680520939734423,0.680592441266599,0.671620701395983,0.923905345590739,0.751842015662241,0.885869935308138,,,
56,0.749193226428904,0.919668640628119,0.919525583871182,0.979140328697851,0.664706567303214,0.722519795062879,0.637352784616408,0.942145185973784,0.726951227626589,0.894470689999335,,,
20,0.755993031358885,0.909337979094077,0.909581881533101,0.942857142857143,0.704390243902439,0.854006968641115,0.688118466898955,0.943344947735192,0.765853658536585,0.824738675958188,,,
7,0.822857142857143,0.929285714285714,0.924285714285714,0.985714285714286,0.935,0.914285714285714,0.725714285714286,0.940714285714286,0.805,0.9,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
6,0.682417582417582,0.813186813186813,0.850549450549451,0.967032967032967,1,0.758241758241758,0.871428571428572,0.820879120879121,0.721978021978022,0.824175824175824,,,
56,0.750076518730454,0.919384190564908,0.912089959411804,0.971854414798058,0.666757601969526,0.789656663783353,0.633761394637035,0.945237540754541,0.712607292567703,0.889630048572759,,,
56,0.737174795395569,0.927465233881163,0.930407878102335,0.979855612482534,0.664583471954222,0.728025816754275,0.639167609288709,0.946688069731852,0.725184643023488,0.901324106726995,,,
1,1,1,1,1,1,1,1,1,1,1,,,
56,0.764086100206268,0.928586399627387,0.921252245658394,0.986692394703573,0.665581542351454,0.723750748552798,0.638300951493779,0.945492048705835,0.708698183511877,0.889696586599242,,,
56,0.826372346796194,0.93228258699847,0.935235211923614,0.977659857608623,0.662650542284916,0.749484330294764,0.638174529243463,0.94824173265021,0.828636303147249,0.906247920686673,,,
56,0.744139663317586,0.925901590258833,0.926643489254109,0.983914432097944,0.665574888548806,0.714668307937987,0.638558786346397,0.940371947568035,0.725627120899594,0.900974782087963,,,
1,1,1,1,1,1,1,1,1,1,1,,,
56,0.750479073790672,0.927824539224167,0.912327832856477,0.983315589859605,0.665450129749152,0.715250515669705,0.633102668174862,0.94689766451527,0.744988023155233,0.882710093818617,,,
45,0.730377448638318,0.938420130594044,0.940258002866699,0.967510750119446,0.66599458512502,0.841376015289059,0.655193502150024,0.942529065137761,0.724825609173435,0.871094123268036,,,
45,0.764242713807931,0.936757445453098,0.930536709667145,0.978181239050805,0.66943143812709,0.80315336837076,0.643089663959229,0.946653925784361,0.725539098582577,0.863035515209428,,,
18,0.772830725462304,0.910099573257468,0.8950213371266,0.970128022759601,0.728402086296823,0.732100521574206,0.707586533902324,0.926458036984353,0.753579895685159,0.814604077761973,,,
18,0.742342342342342,0.92076813655761,0.810478899952584,0.976766239924135,0.728307254623044,0.738264580369844,0.704788999525842,0.930014224751067,0.719582740635372,0.802275960170697,,,
15,0.758145161290323,0.809596774193549,0.796451612903226,0.970967741935484,0.926854838709677,0.84758064516129,0.69758064516129,0.885241935483871,0.753548387096774,0.770161290322581,,,
15,0.787258064516129,0.868870967741936,0.852903225806452,0.989516129032258,0.926129032258065,0.84758064516129,0.688951612903226,0.883306451612903,0.794758064516129,0.810483870967742,,,
11,0.7800395256917,0.837549407114625,0.788932806324111,0.994071146245059,0.945849802371541,0.907114624505929,0.682411067193676,0.960671936758893,0.790909090909091,0.83201581027668,,,
14,0.79448275862069,0.840886699507389,0.784532019704433,0.994088669950739,0.923054187192118,0.865024630541872,0.685024630541872,0.905024630541872,0.805221674876847,0.833497536945813,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
15,0.755322580645161,0.783145161290323,0.748790322580645,0.975,0.926129032258065,0.84758064516129,0.693467741935484,0.883225806451613,0.7725,0.815322580645161,,,
15,0.773467741935484,0.85508064516129,0.821935483870968,0.992741935483871,0.926854838709677,0.849193548387097,0.692822580645161,0.877903225806452,0.766129032258065,0.80241935483871,,,
1,1,1,1,1,1,1,1,1,1,1,,,
