TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,math,injected,RPA
16,0.761564171122995,0,0.545454545454545,0,0,0,0,0,0.796323529411765,0,,,
16,0.802406417112299,0,0.917780748663101,0,0,0,0,0,0.78201871657754,0,,,
161,0.748060760027377,0,0.875394225831701,0,0,0,0,0,0.744781960584895,0,,,
16,0.753275401069519,0,0.929411764705882,0,0,0,0,0,0.710628342245989,0,,,
161,0.755784032402689,0,0.933434039774059,0,0,0,0,0,0.755585397138769,0,,,
16,0.740909090909091,0,0.919852941176471,0,0,0,0,0,0.717312834224599,0,,,
230,0.748086243662967,0,0.904525036408466,0,0,0,0,0,0.74290662652447,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
4,0.863333333333333,0,0.803333333333333,0,0,0,0,0,0.863333333333333,0,,,
4,0.89,0,0.993333333333333,0,0,0,0,0,0.856666666666667,0,,,
2,1,0,0.86,0,0,0,0,0,1,0,,,
4,0.823333333333333,0,0.976666666666667,0,0,0,0,0,0.86,0,,,
16,0.777874331550802,0,0.925066844919786,0,0,0,0,0,0.740909090909091,0,,,
16,0.750334224598931,0,0.899598930481283,0,0,0,0,0,0.753141711229947,0,,,
161,0.744003301803814,0,0.894283876784886,0,0,0,0,0,0.734719934248808,0,,,
16,0.738502673796791,0,0.907754010695187,0,0,0,0,0,0.723930481283423,0,,,
192,0.737946050063926,0,0.920573817374336,0,0,0,0,0,0.739434047170447,0,,,
11,0.790909090909091,0,0.929446640316206,0,0,0,0,0,0.78300395256917,0,,,
3,0.821428571428572,0,0.914285714285714,0,0,0,0,0,0.821428571428571,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
348,0.713656464101446,0,0.913669137156333,0,0,0,0,0,0.708504158505611,0,,,
97,0.705036171486834,0,0.922824774636262,0,0,0,0,0,0.710338733431517,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
2,0.8,0,0.86,0,0,0,0,0,0.8,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
2,0.8,0,0.88,0,0,0,0,0,0.8,0,,,
14,0.75064039408867,0,0.94935960591133,0,0,0,0,0,0.759408866995074,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
2,0.8,0,0.98,0,0,0,0,0,0.8,0,,,
397,0.721959123119041,0,0.925384548329786,0,0,0,0,0,0.718956514428996,0,,,
129,0.765165594933037,0,0.893756915617381,0,0,0,0,0,0.756166071514909,0,,,
