test_cases,codec,compress,imaging,io,lang,math
3,0,0,0,0,0,0
3,0,0,0,0,0,0
2,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
2,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
1,0,0,0,0,0,0
3,0,0,0,0,0,0
3,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
4,0,0,0,0,0,0
2,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
4,0,0,0,0,0,0
4,0,0,0,0,0,0
3,0,0,0,0,0,1
3,0,0,0,0,0,1
3,0,0,0,0,0,0.9782608696
4,0,0,0,0,0,0.9742685322
1,0,0,0,0,0,0.9785800623
3,0,0,0,0,0,1
2,0,0,0,0,0,0.9272727273
1,0,0,0,0,0,0.982996875
3,0,0,0,0,0,0.9754385965
3,0,0,0,0,0,1
3,0,0,0,0,0,0.9772953633
3,0,0,0,0,0,1
3,0,0,0,0,0,1
3,0,0,0,0,0,0.9768132559
3,0,0,0,0,0,0.9901185771
1,0,0,0,0,0,0.9333333333
1,0,0,0,0,0,0.9285714286
4,0,0,0,0,0,0.8
3,0,0,0,0,0,0.9565217391
1,0,0,0,0,0,0.9446153846
1,0,0,0,0,0,0.9481632653
1,0,0,0,0,0,0.9584615385
1,0,0,0,0,0,0.9624505929
1,0,0,0,0,0,0.9607843137
1,0,0,0,0,0,1
1,0,0,0,0,0,0.9333333333
1,0,0,0,0,0,0.9368421053
1,0,0,0,0,0,0.9285714286
1,0,0,0,0,0,1
1,0,0,0,0,0,0.9607843137
1,0,0,0,0,0,0.945855615
3,0,0,0,0,0,0.942687747
8,0,0,0,0,0,1
27,0,0,0,0,0,1
9,0,0,0,0,0,0.9378342246
3,0,0,0,0,0,1
1,0,0,0,0,0,0.9642857143
2,0,0,0,0,0,0.9487684729
2,0,0,0,0,0,0.9688311688
3,0,0,0,0,0,0.9785714286
1,0,0,0,0,0,0.9688311688
1,0,0,0,0,0,0.9571428571
1,0,0,0,0,0,1
1,0,0,0,0,0,1
1,0,0,0,0,0,0.9714285714
1,0,0,0,0,0,1
1,0,0,0,0,0,0.9571428571
1,0,0,0,0,0,0.9142857143
1,0,0,0,0,0,0.9577540127
1,0,0,0,0,0,0.961654472
30,0,0,0,0,0,1
1,0,0,0,0,0,1
2,0,0,0,0,0,1
8,0,0,0,0,0,1
8,0,0,0,0,0,0.9166666667
1,0,0,0,0,0,0.9130111375
1,0,0,0,0,0,0.9405508504
2,0,0,0,0,0,1
1,0,0,0,0,0,0.9865689866
2,0,0,0,0,0.9357718545,0.8903046761
2,0,0,0,0,0.9568136558,1
2,0,0,0,0,0.9679389984,1
2,0,0,0,0,0.9680572774,1
1,0,0,0,0,0.9571428571,0.9167636171
2,0,0,0,0,0.9857142857,0.9285714286
2,0,0.9882210812,0,0,0.9,1
1,0,0.984294775,0,0,0.9675294431,1
2,0,0.9746300211,0,0,0.9446751206,0.9228146853
1,0,0.9285714286,0,0,1,1
1,0,0.9614035088,0,0,0.9785714286,1
3,0,0.9824561404,0,0,0.9928571429,1
1,0,0.9738461538,0,0,1,0.8181818182
14,0,0.9664408311,0,0,0.9158324821,1
3,0,0.9682309305,0,0,0.9791403287,1
3,0,1,0,0,0.9428571429,1
18,0,0.9975708502,0,0,0.9857142857,1
31,0,0.9892307692,0,0,1,1
20,0,0.9861538462,0,0,1,1
