,variable,value
0,IOFROL,318595.519
1,IOFROL,61463.927
2,IOFROL,1018064.0759999999
3,IOFROL,1022350.502
4,IOFROL,135659.825
5,IOFROL,23173.667999999998
6,IOFROL,34128.011
7,IOFROL,135575.712
8,IOFROL,67371.506
9,IOFROL,841708.947
10,IOFROL,1124092.4579999999
11,IOFROL,12849.168
12,IOFROL,56805.192
13,IOFROL,135523.706
14,IOFROL,22346.987999999998
15,IOFROL,19875.654
16,IOFROL,672185.229
17,IOFROL,25286.702
18,IOFROL,19738.152
19,IOFROL,34087.71
20,IOFROL,32313.153
21,IOFROL,22565.911
22,IOFROL,18054.384
23,IOFROL,640018.8
24,IOFROL,1000491.253
25,IOFROL,60816.822
26,IOFROL,418215.175
27,IOFROL,133038.435
28,IOFROL,31975.189
29,IOFROL,982759.017
30,IOFROL,69761.789
31,IOFROL,908791.3
32,IOFROL,517778.18200000003
33,IOFROL,904941.944
34,IOFROL,450320.94200000004
35,IOFROL,100778.409
36,IOFROL,65744.813
37,IOFROL,283997.666
38,IOFROL,263671.13399999996
39,IOFROL,224755.878
40,IOFROL,89533.787
41,IOFROL,219628.482
42,IOFROL,52601.907999999996
43,IOFROL,28283.727000000003
44,IOFROL,28571.331000000002
45,IOFROL,92621.68400000001
46,IOFROL,50898.312999999995
47,IOFROL,33510.888999999996
48,IOFROL,39403.372
49,IOFROL,31122.439
50,IOFROL,895580.5040000001
51,IOFROL,982405.927
52,IOFROL,174483.548
53,IOFROL,96819.177
54,IOFROL,936138.88
55,IOFROL,594677.448
56,IOFROL,114722.26800000001
57,IOFROL,915627.436
58,IOFROL,71022.909
59,IOFROL,109963.99
60,IOFROL,297177.12899999996
61,IOFROL,627214.55
62,IOFROL,80144.54400000001
63,IOFROL,44134.515
64,IOFROL,186698.556
65,IOFROL,43661.232
66,IOFROL,76532.88900000001
67,IOFROL,59647.142
68,IOFROL,55350.334
69,IOFROL,57812.092000000004
70,IOFROL,42482.939000000006
71,IOFROL,60935.014
72,IOFROL,471114.157
73,IOFROL,251749.155
74,IOFROL,537181.835
75,IOFROL,556962.565
76,IOFROL,324871.436
77,IOFROL,92473.53
78,IOFROL,56133.977999999996
79,IOFROL,71968.924
80,IOFROL,253928.0
81,IOFROL,270445.788
82,IOFROL,82958.79400000001
83,IOFROL,125704.07199999999
84,IOFROL,88344.939
85,IOFROL,343522.117
86,IOFROL,68399.663
87,IOFROL,87693.44699999999
88,IOFROL,92574.948
89,IOFROL,144487.47
90,IOFROL,66306.02
91,IOFROL,277114.946
92,IOFROL,56954.505999999994
93,IOFROL,133116.09900000002
94,IOFROL,71030.418
95,IOFROL,65631.488
96,IOFROL,105099.91699999999
97,IOFROL,215116.98100000003
98,IOFROL,923074.575
99,IOFROL,96034.859
100,IOFROL,160442.818
101,IOFROL,101452.112
102,IOFROL,576955.816
103,IOFROL,133244.46
104,IOFROL,120308.37
105,IOFROL,929820.795
106,IOFROL,284500.601
107,IOFROL,78559.005
108,IOFROL,140081.586
109,IOFROL,141583.05800000002
110,IOFROL,922639.913
111,IOFROL,914001.827
112,IOFROL,531582.303
113,IOFROL,168942.177
114,IOFROL,908821.312
115,IOFROL,256789.81600000002
116,IOFROL,101499.086
117,IOFROL,344201.349
118,IOFROL,198499.48
119,IOFROL,328641.933
120,IOFROL,176685.428
121,IOFROL,168924.401
122,IOFROL,100282.05699999999
123,IOFROL,87810.087
124,IOFROL,85997.45800000001
125,IOFROL,74028.209
126,IOFROL,116450.285
127,IOFROL,70268.429
128,IOFROL,83830.508
129,IOFROL,144536.608
130,IOFROL,129536.80099999999
131,IOFROL,166533.848
132,IOFROL,227533.616
133,IOFROL,176968.05800000002
134,IOFROL,139232.215
135,IOFROL,108631.30900000001
136,IOFROL,161219.965
137,IOFROL,135092.359
138,IOFROL,120591.82
139,IOFROL,209785.337
140,IOFROL,123567.87599999999
141,IOFROL,126965.242
142,IOFROL,106765.15800000001
143,IOFROL,238448.962
144,IOFROL,252970.908
145,IOFROL,126243.01699999999
146,IOFROL,695119.63
147,IOFROL,130932.671
148,IOFROL,80754.372
149,IOFROL,105577.131
150,IOFROL,141761.52300000002
151,IOFROL,81637.791
152,IOFROL,449263.691
