timestamp,mode,algo,model_name,episodes,steps,cycle_id,training_time,testing_time,winsize,test_cases,failed_test_cases, apfd, nrpa, random_apfd, optimal_apfd
15/09/2020 16:51:09,PAIRWISE,ACKTR,PAIRWISE_ACKTR_0_2,200,32521,4,36777.361,1458.436,10,58,1,0.0948275862068965,0.6570906202700475,0.7672413793103448,0.9913793103448275
15/09/2020 16:52:37,PAIRWISE,ACKTR,PAIRWISE_ACKTR_0_3,200,79552,7,85229.523,1376.768,10,25,1,0.54,0.5971040723981901,0.78,0.98
15/09/2020 16:53:12,PAIRWISE,ACKTR,PAIRWISE_ACKTR_0_6,200,28219,8,33147.705,1156.098,10,31,1,0.5,0.6955645161290323,0.17741935483870963,0.9838709677419355
15/09/2020 16:53:58,PAIRWISE,ACKTR,PAIRWISE_ACKTR_0_7,200,36916,10,43333.1,1340.9,10,30,4,0.5083333333333334,0.7820200951877314,0.4583333333333333,0.9333333333333333
15/09/2020 16:54:43,PAIRWISE,ACKTR,PAIRWISE_ACKTR_0_9,200,35441,11,42269.859,1215.644,10,59,4,0.5296610169491525,0.7105967810853154,0.4661016949152542,0.9661016949152542
15/09/2020 16:56:14,PAIRWISE,ACKTR,PAIRWISE_ACKTR_0_10,200,81215,12,88948.724,1513.108,10,90,9,0.5376543209876543,0.7849351385262987,0.3759259259259259,0.95
15/09/2020 16:58:41,PAIRWISE,ACKTR,PAIRWISE_ACKTR_0_11,200,134853,13,144082.196,1398.606,10,28,1,0.9464285714285715,0.7991962665283899,0.8392857142857143,0.9821428571428572
15/09/2020 16:59:24,PAIRWISE,ACKTR,PAIRWISE_ACKTR_0_12,200,32521,14,40562.712,1157.568,10,27,1,0.9814814814814815,0.7858585858585858,0.5740740740740741,0.9814814814814815
15/09/2020 17:00:06,PAIRWISE,ACKTR,PAIRWISE_ACKTR_0_13,200,31076,17,40212.485,1358.704,10,33,3,0.6919191919191918,0.790565887141831,0.5808080808080808,0.9545454545454546
15/09/2020 17:00:59,PAIRWISE,ACKTR,PAIRWISE_ACKTR_0_16,200,39893,18,50358.133,1166.2350000000001,10,33,1,0.5909090909090908,0.9255327639875489,0.7727272727272727,0.9848484848484849
15/09/2020 17:01:52,PAIRWISE,ACKTR,PAIRWISE_ACKTR_0_17,200,39893,23,50622.391,1379.708,10,33,4,0.75,0.8465160826881635,0.75,0.9393939393939393
