timestamp,mode,algo,model_name,episodes,steps,cycle_id,training_time,testing_time,winsize,test_cases,failed_test_cases, apfd, nrpa, random_apfd, optimal_apfd
16/09/2020 09:57:38,POINTWISE,A2C,POINTWISE_A2C_0_2,200,32521,4,25839.892,883.023,10,58,1,0.04310344827586203,0.6932518095580632,0.9568965517241379,0.9913793103448275
16/09/2020 09:58:41,POINTWISE,A2C,POINTWISE_A2C_0_3,200,79552,7,61922.78,697.194,10,25,1,0.98,0.690316742081448,0.09999999999999996,0.98
16/09/2020 09:59:07,POINTWISE,A2C,POINTWISE_A2C_0_6,200,28219,8,23955.549,926.713,10,31,1,0.9516129032258065,0.706989247311828,0.7258064516129032,0.9838709677419355
16/09/2020 09:59:40,POINTWISE,A2C,POINTWISE_A2C_0_7,200,36916,10,31583.832,698.543,10,30,4,0.8416666666666667,0.7840296139608672,0.775,0.9333333333333333
16/09/2020 10:00:13,POINTWISE,A2C,POINTWISE_A2C_0_9,200,35441,11,31229.435,831.392,10,59,4,0.2542372881355932,0.7180173764421023,0.2838983050847458,0.9661016949152542
16/09/2020 10:01:22,POINTWISE,A2C,POINTWISE_A2C_0_10,200,81215,12,67343.317,995.364,10,90,9,0.6944444444444444,0.7631837775484185,0.5018518518518519,0.95
16/09/2020 10:03:12,POINTWISE,A2C,POINTWISE_A2C_0_11,200,134853,13,108812.601,769.027,10,28,1,0.7678571428571429,0.73930515945035,0.5535714285714286,0.9821428571428572
16/09/2020 10:03:49,POINTWISE,A2C,POINTWISE_A2C_0_12,200,32521,14,35503.958,769.163,10,27,1,0.7222222222222222,0.7655122655122655,0.9814814814814815,0.9814814814814815
16/09/2020 10:04:26,POINTWISE,A2C,POINTWISE_A2C_0_13,200,31076,17,35852.877,780.374,10,33,3,0.7424242424242424,0.7649453268417272,0.48989898989898983,0.9545454545454546
16/09/2020 10:05:10,POINTWISE,A2C,POINTWISE_A2C_0_16,200,39893,18,42053.965,709.284,10,33,1,0.40909090909090906,0.7180940218692633,0.40909090909090906,0.9848484848484849
16/09/2020 10:05:55,POINTWISE,A2C,POINTWISE_A2C_0_17,200,39893,23,42962.088,968.034,10,33,4,0.6287878787878788,0.8106792241998564,0.43939393939393934,0.9393939393939393
16/09/2020 10:06:39,POINTWISE,A2C,POINTWISE_A2C_0_22,200,39893,24,43420.508,695.696,10,35,1,0.6142857142857142,0.8097920858484239,0.6428571428571428,0.9857142857142857
16/09/2020 10:07:28,POINTWISE,A2C,POINTWISE_A2C_0_23,200,42904,30,46596.663,707.343,10,40,1,0.41250000000000003,0.7700542005420055,0.06250000000000004,0.9874999999999999
16/09/2020 10:08:22,POINTWISE,A2C,POINTWISE_A2C_0_29,200,50575,31,53015.632,719.931,10,51,5,0.42549019607843136,0.7690770109388042,0.6490196078431372,0.9509803921568627
16/09/2020 10:09:31,POINTWISE,A2C,POINTWISE_A2C_0_30,200,68058,32,66914.494,854.131,10,160,11,0.5383522727272727,0.7593131421605619,0.6019886363636364,0.9656250000000001
16/09/2020 10:13:06,POINTWISE,A2C,POINTWISE_A2C_0_31,200,266301,33,214130.519,822.12,10,113,5,0.315929203539823,0.7184145893563193,0.5389380530973452,0.9778761061946902
16/09/2020 10:15:37,POINTWISE,A2C,POINTWISE_A2C_0_32,200,176736,34,148926.205,979.221,10,60,51,0.5501633986928105,0.7931987535564287,0.5259803921568627,0.575
16/09/2020 10:16:58,POINTWISE,A2C,POINTWISE_A2C_0_33,200,82882,35,80060.448,758.883,10,62,53,0.5470176506390749,0.7945069124423964,0.48919659160073037,0.5725806451612903
16/09/2020 10:18:24,POINTWISE,A2C,POINTWISE_A2C_0_34,200,86232,36,83960.429,771.647,10,54,49,0.5236205593348451,0.7388193865258086,0.5247543461829176,0.5462962962962963
