timestamp,mode,algo,model_name,episodes,steps,cycle_id,training_time,testing_time,winsize,test_cases,failed_test_cases, apfd, nrpa, random_apfd, optimal_apfd
14/09/2020 17:18:47,POINTWISE,DDPG,POINTWISE_DDPG_0_0,200,355858,4,773176.794,883.441,10,50,27,0.4144444444444445,0.7713919627256843,0.5062962962962964,0.73
14/09/2020 17:21:04,POINTWISE,DDPG,POINTWISE_DDPG_0_3,200,66438,5,135151.814,1552.214,10,561,239,0.6419237911977267,0.8494636553247391,0.5017601563257482,0.7869875222816399
14/09/2020 18:03:50,POINTWISE,DDPG,POINTWISE_DDPG_0_4,200,1136794,6,2564149.811,899.245,10,562,105,0.5398491781054059,0.8711982790044015,0.4894339942382647,0.9065836298932385
14/09/2020 18:48:39,POINTWISE,DDPG,POINTWISE_DDPG_0_5,200,1139109,8,2687416.21,945.006,10,97,46,0.4515912147019274,0.7821327420738319,0.48789780367548186,0.7628865979381443
14/09/2020 18:54:15,POINTWISE,DDPG,POINTWISE_DDPG_0_7,200,147438,10,334615.577,754.325,10,20,12,0.42500000000000004,0.7905923344947735,0.5083333333333333,0.7000000000000001
14/09/2020 18:55:10,POINTWISE,DDPG,POINTWISE_DDPG_0_9,200,21287,11,51300.313,942.545,10,28,28,0.49999999999999994,0.835882810474462,0.5357142857142857,0.49999999999999994
14/09/2020 18:56:33,POINTWISE,DDPG,POINTWISE_DDPG_0_10,200,32521,13,81233.964,1155.512,10,96,84,0.519717261904762,0.9224934565461247,0.5097966269841271,0.5625000000000001
14/09/2020 19:02:15,POINTWISE,DDPG,POINTWISE_DDPG_0_12,200,145631,15,340044.261,763.607,10,51,35,0.5907563025210083,0.9395290603171814,0.47310924369747903,0.6568627450980391
14/09/2020 19:04:52,POINTWISE,DDPG,POINTWISE_DDPG_0_14,200,68058,17,155229.334,1031.781,10,472,72,0.3797080979284369,0.7503840988862668,0.5136534839924671,0.9237288135593221
14/09/2020 19:42:21,POINTWISE,DDPG,POINTWISE_DDPG_0_16,200,932921,18,2247287.034,1001.792,10,610,43,0.43044224170796797,0.7536206193339084,0.5905642394205108,0.9647540983606557
14/09/2020 20:34:06,POINTWISE,DDPG,POINTWISE_DDPG_0_17,200,1250825,19,3101614.846,2247.982,10,7,1,0.07142857142857142,0.6928571428571428,0.6428571428571428,0.9285714285714286
14/09/2020 20:34:28,POINTWISE,DDPG,POINTWISE_DDPG_0_18,200,5330,21,20924.552,765.862,10,42,18,0.5489417989417988,0.7756888802032441,0.593915343915344,0.7857142857142857
14/09/2020 20:36:56,POINTWISE,DDPG,POINTWISE_DDPG_0_20,200,53695,25,146088.674,867.128,10,93,34,0.5898165717900063,0.7149442668438187,0.5234029095509172,0.8172043010752688
14/09/2020 20:42:34,POINTWISE,DDPG,POINTWISE_DDPG_0_24,200,140228,26,335706.516,1048.11,10,14,1,0.6071428571428571,0.7399014778325124,0.6785714285714285,0.9642857142857143
14/09/2020 20:43:17,POINTWISE,DDPG,POINTWISE_DDPG_0_25,200,13460,28,42060.399,765.12,10,11,5,0.4090909090909091,0.741106719367589,0.5909090909090908,0.7727272727272727
14/09/2020 20:43:56,POINTWISE,DDPG,POINTWISE_DDPG_0_27,200,9810,32,36480.016,905.606,10,384,50,0.5965104166666667,0.7724721556077213,0.4919791666666667,0.9348958333333334
14/09/2020 21:13:30,POINTWISE,DDPG,POINTWISE_DDPG_0_31,200,736125,34,1772351.643,1001.151,10,15,10,0.5,0.7935483870967742,0.44666666666666666,0.6666666666666666
14/09/2020 21:14:21,POINTWISE,DDPG,POINTWISE_DDPG_0_33,200,14720,36,49683.254,750.532,10,10,1,0.8500000000000001,0.8493506493506493,0.9500000000000001,0.9500000000000001
14/09/2020 21:14:57,POINTWISE,DDPG,POINTWISE_DDPG_0_35,200,8643,38,33196.311,744.635,10,21,15,0.4904761904761905,0.7897916037450922,0.5507936507936508,0.6428571428571429
14/09/2020 21:16:07,POINTWISE,DDPG,POINTWISE_DDPG_0_37,200,22647,39,68368.222,818.202,10,19,13,0.38663967611336025,0.7271255060728745,0.5728744939271254,0.6578947368421052
14/09/2020 21:17:17,POINTWISE,DDPG,POINTWISE_DDPG_0_38,200,19942,40,67630.236,1150.8899999999999,10,11,10,0.5454545454545454,0.9940711462450593,0.6,0.5454545454545454
14/09/2020 21:17:56,POINTWISE,DDPG,POINTWISE_DDPG_0_39,200,9810,44,38208.689,805.322,10,6,3,0.638888888888889,0.967032967032967,0.7500000000000001,0.7500000000000001
14/09/2020 21:18:25,POINTWISE,DDPG,POINTWISE_DDPG_0_43,200,4301,46,26779.61,963.49,10,368,33,0.7130681818181819,0.7768297838868896,0.5420372200263505,0.9551630434782609
14/09/2020 21:47:11,POINTWISE,DDPG,POINTWISE_DDPG_0_45,200,700934,47,1723620.397,1045.043,10,548,56,0.5048227320125132,0.8846902872414812,0.47637513034410844,0.9489051094890512
14/09/2020 22:32:45,POINTWISE,DDPG,POINTWISE_DDPG_0_46,200,1106744,48,2732590.924,803.614,10,40,3,0.6208333333333333,0.8973351400180668,0.6041666666666666,0.9624999999999999
14/09/2020 22:35:06,POINTWISE,DDPG,POINTWISE_DDPG_0_47,200,50575,49,137115.042,2614.058,10,252,35,0.6857709750566894,0.8200550489831592,0.4977891156462585,0.9305555555555556
14/09/2020 22:53:17,POINTWISE,DDPG,POINTWISE_DDPG_0_48,200,452454,52,1089930.709,1097.713,10,87,25,0.4255172413793103,0.7336811464397671,0.4917241379310345,0.8563218390804598
14/09/2020 22:58:44,POINTWISE,DDPG,POINTWISE_DDPG_0_51,200,129507,53,324677.589,1572.402,10,16,2,0.375,0.8977272727272727,0.78125,0.9375
14/09/2020 22:59:51,POINTWISE,DDPG,POINTWISE_DDPG_0_52,200,16000,58,64095.92,1100.594,10,538,22,0.40224738087191614,0.7649990339425352,0.5853328827306522,0.9795539033457249
14/09/2020 23:44:38,POINTWISE,DDPG,POINTWISE_DDPG_0_57,200,1083689,60,2685222.567,773.778,10,44,8,0.9090909090909091,0.8916581545795029,0.46875,0.9090909090909091
14/09/2020 23:47:19,POINTWISE,DDPG,POINTWISE_DDPG_0_59,200,56842,63,157455.072,1059.726,10,633,90,0.47037037037037044,0.7424934860215953,0.47200280849569953,0.9289099526066351
15/09/2020 00:42:11,POINTWISE,DDPG,POINTWISE_DDPG_0_62,200,1304747,65,3291010.847,888.507,10,303,39,0.4603960396039604,0.7471403626099192,0.4932300922399932,0.9356435643564356
15/09/2020 01:05:10,POINTWISE,DDPG,POINTWISE_DDPG_0_64,200,560136,67,1374524.774,1071.866,10,690,56,0.5767080745341615,0.7723353766109554,0.4340320910973085,0.9594202898550724
15/09/2020 02:04:54,POINTWISE,DDPG,POINTWISE_DDPG_0_66,200,1439402,68,3582539.863,877.734,10,266,105,0.5221804511278195,0.7581736029472251,0.5421589688506981,0.8026315789473684
15/09/2020 02:24:02,POINTWISE,DDPG,POINTWISE_DDPG_0_67,200,481741,70,1145129.504,786.717,10,64,15,0.4588541666666667,0.6891771019677997,0.5171875,0.8828125
15/09/2020 02:27:57,POINTWISE,DDPG,POINTWISE_DDPG_0_69,200,89600,71,232077.821,771.141,10,39,10,0.3820512820512821,0.6638266796494645,0.6743589743589743,0.8717948717948718
15/09/2020 02:30:21,POINTWISE,DDPG,POINTWISE_DDPG_0_70,200,49026,72,142497.339,824.242,10,174,27,0.7063644103873989,0.7318028992053298,0.4309280544912729,0.9224137931034483
15/09/2020 02:42:02,POINTWISE,DDPG,POINTWISE_DDPG_0_71,200,293814,73,699118.097,834.678,10,162,41,0.3299457994579946,0.6739957701920892,0.5520174646190906,0.8734567901234568
15/09/2020 02:52:37,POINTWISE,DDPG,POINTWISE_DDPG_0_72,200,270211,74,632520.686,934.833,10,139,34,0.44625476089716465,0.7745449723170772,0.4953449005501481,0.8776978417266187
15/09/2020 03:01:22,POINTWISE,DDPG,POINTWISE_DDPG_0_73,200,225706,75,522332.747,1344.344,10,55,37,0.6223587223587224,0.8956475956475957,0.5176904176904176,0.6636363636363636
15/09/2020 03:04:39,POINTWISE,DDPG,POINTWISE_DDPG_0_74,200,74594,77,195921.567,769.547,10,136,80,0.6375919117647059,0.8906725520078891,0.5182904411764706,0.7058823529411764
15/09/2020 03:13:29,POINTWISE,DDPG,POINTWISE_DDPG_0_76,200,219978,78,528234.761,699.855,10,27,11,0.3686868686868686,0.7893217893217893,0.6178451178451178,0.7962962962962963
15/09/2020 03:15:13,POINTWISE,DDPG,POINTWISE_DDPG_0_77,200,31076,79,103215.069,851.427,10,6,6,0.49999999999999994,0.9340659340659341,0.6666666666666666,0.49999999999999994
15/09/2020 03:15:52,POINTWISE,DDPG,POINTWISE_DDPG_0_78,200,4301,81,36886.275,707.5,10,6,6,0.49999999999999994,0.7912087912087912,0.6666666666666666,0.49999999999999994
15/09/2020 03:16:30,POINTWISE,DDPG,POINTWISE_DDPG_0_80,200,4301,83,37045.595,739.179,10,55,14,0.48961038961038966,0.772060372060372,0.574025974025974,0.8727272727272727
15/09/2020 03:19:43,POINTWISE,DDPG,POINTWISE_DDPG_0_82,200,74594,85,191356.533,717.919,10,24,8,0.4739583333333333,0.7108163265306122,0.6093750000000001,0.8333333333333334
15/09/2020 03:21:17,POINTWISE,DDPG,POINTWISE_DDPG_0_84,200,26807,86,92308.994,870.405,10,9,6,0.4444444444444444,0.8140350877192982,0.6481481481481481,0.6666666666666667
15/09/2020 03:22:06,POINTWISE,DDPG,POINTWISE_DDPG_0_85,200,7505,88,46535.647,744.957,10,14,8,0.5803571428571429,0.7812807881773399,0.6339285714285714,0.7142857142857143
15/09/2020 03:23:09,POINTWISE,DDPG,POINTWISE_DDPG_0_87,200,13460,89,61450.154,724.048,10,6,5,0.4166666666666667,0.7912087912087912,0.7500000000000001,0.5833333333333334
15/09/2020 03:23:54,POINTWISE,DDPG,POINTWISE_DDPG_0_88,200,4301,91,43301.273,1117.643,10,492,50,0.6376016260162601,0.74552784419536,0.5161788617886178,0.9491869918699186
15/09/2020 04:02:51,POINTWISE,DDPG,POINTWISE_DDPG_0_90,200,978343,92,2335389.858,1140.304,10,533,32,0.6759498123827392,0.7599396814546848,0.5477251407129456,0.9699812382739212
15/09/2020 04:42:23,POINTWISE,DDPG,POINTWISE_DDPG_0_91,200,1072181,94,2370146.553,777.951,10,105,34,0.6507002801120447,0.8178127514978092,0.4338935574229692,0.8380952380952381
15/09/2020 04:49:06,POINTWISE,DDPG,POINTWISE_DDPG_0_93,200,161999,95,401416.163,956.706,10,55,11,0.6983471074380165,0.7628115128115128,0.3446280991735537,0.8999999999999999
15/09/2020 04:52:34,POINTWISE,DDPG,POINTWISE_DDPG_0_94,200,74594,97,205939.939,988.087,10,602,67,0.6782243268706303,0.8013515225323596,0.49532652352853673,0.9443521594684385
15/09/2020 05:33:07,POINTWISE,DDPG,POINTWISE_DDPG_0_96,200,1232127,98,2431336.939,895.444,10,337,60,0.21691394658753704,0.650088552549178,0.526211671612265,0.9109792284866469
15/09/2020 05:58:27,POINTWISE,DDPG,POINTWISE_DDPG_0_97,200,633331,100,1518212.716,946.617,10,66,4,0.17803030303030298,0.7477581334611971,0.625,0.9696969696969697
15/09/2020 06:02:36,POINTWISE,DDPG,POINTWISE_DDPG_0_99,200,92986,103,246810.574,1081.306,10,757,44,0.4903626756334815,0.7340089725015903,0.46193106761138464,0.9709379128137384
15/09/2020 07:09:26,POINTWISE,DDPG,POINTWISE_DDPG_0_102,200,1599412,105,4008610.421,758.138,10,35,21,0.5965986394557823,0.9200536552649229,0.5435374149659864,0.7
15/09/2020 07:11:47,POINTWISE,DDPG,POINTWISE_DDPG_0_104,200,42904,107,137424.759,868.515,10,62,18,0.5869175627240144,0.7718095238095238,0.478494623655914,0.8548387096774194
15/09/2020 07:15:48,POINTWISE,DDPG,POINTWISE_DDPG_0_106,200,86232,109,239866.255,798.189,10,175,42,0.24666666666666667,0.6687229437229437,0.49278911564625844,0.88
15/09/2020 07:27:46,POINTWISE,DDPG,POINTWISE_DDPG_0_108,200,295792,110,715798.091,900.81,10,353,34,0.45017497083819363,0.8920584332884721,0.5644059323446092,0.951841359773371
15/09/2020 07:53:59,POINTWISE,DDPG,POINTWISE_DDPG_0_109,200,668124,111,1571160.193,939.459,10,40,12,0.4583333333333333,0.7930894308943089,0.5229166666666667,0.85
15/09/2020 07:56:36,POINTWISE,DDPG,POINTWISE_DDPG_0_110,200,50575,112,154549.162,882.098,10,12,2,0.5833333333333334,0.8630769230769231,0.37500000000000006,0.9166666666666666
15/09/2020 07:57:43,POINTWISE,DDPG,POINTWISE_DDPG_0_111,200,11003,113,66371.963,800.536,10,109,24,0.4923547400611621,0.8047733842128715,0.4652140672782874,0.8899082568807339
15/09/2020 08:04:53,POINTWISE,DDPG,POINTWISE_DDPG_0_112,200,169346,118,428243.947,964.858,10,11,1,0.6818181818181818,0.8814229249011858,0.5909090909090908,0.9545454545454545
15/09/2020 08:05:59,POINTWISE,DDPG,POINTWISE_DDPG_0_117,200,9810,120,63975.905,734.751,10,36,23,0.48490338164251207,0.8132790324571146,0.4800724637681159,0.6805555555555556
15/09/2020 08:08:27,POINTWISE,DDPG,POINTWISE_DDPG_0_119,200,44423,122,146657.245,724.882,10,23,22,0.5138339920948617,0.7828399629972248,0.5513833992094862,0.5217391304347826
15/09/2020 08:10:10,POINTWISE,DDPG,POINTWISE_DDPG_0_121,200,25408,123,100879.015,932.479,10,19,18,0.48245614035087714,0.9368421052631579,0.5760233918128655,0.5263157894736842
15/09/2020 08:11:40,POINTWISE,DDPG,POINTWISE_DDPG_0_122,200,19942,124,88561.386,870.155,10,21,21,0.5,0.9250981576562972,0.5476190476190477,0.5
15/09/2020 08:13:21,POINTWISE,DDPG,POINTWISE_DDPG_0_123,200,22647,125,99395.918,875.008,10,7,7,0.5,0.8642857142857143,0.5,0.5
15/09/2020 08:14:19,POINTWISE,DDPG,POINTWISE_DDPG_0_124,200,5330,127,56977.998,732.902,10,22,21,0.5227272727272727,0.9011857707509882,0.5595238095238095,0.5227272727272727
15/09/2020 08:16:00,POINTWISE,DDPG,POINTWISE_DDPG_0_126,200,24021,128,98511.572,961.677,10,267,242,0.5161265360448201,0.8056231496095079,0.5021976661404649,0.5468164794007491
15/09/2020 08:35:16,POINTWISE,DDPG,POINTWISE_DDPG_0_127,200,483841,129,1154667.664,805.542,10,145,77,0.3597402597402597,0.6560051424647795,0.4884460367218988,0.7344827586206897
15/09/2020 08:45:01,POINTWISE,DDPG,POINTWISE_DDPG_0_128,200,237217,130,583271.873,1007.397,10,302,89,0.6717947763970533,0.8601098640869506,0.522155666344222,0.8526490066225165
15/09/2020 09:07:05,POINTWISE,DDPG,POINTWISE_DDPG_0_129,200,557999,131,1322775.517,860.765,10,312,110,0.4980477855477855,0.759393954288523,0.46896853146853146,0.8237179487179487
15/09/2020 09:30:02,POINTWISE,DDPG,POINTWISE_DDPG_0_130,200,579409,133,1374271.172,836.441,10,187,35,0.2090909090909091,0.7519745135965411,0.5165011459129106,0.9064171122994653
