timestamp,mode,algo,model_name,episodes,steps,cycle_id,training_time,testing_time,winsize,test_cases,failed_test_cases, apfd, nrpa, random_apfd, optimal_apfd
18/09/2020 10:35:11,POINTWISE,PPO1,POINTWISE_PPO1_0_0,200,355858,4,226921.055,893.081,10,50,27,0.6877777777777778,0.8877344205008736,0.5233333333333333,0.73
18/09/2020 10:35:59,POINTWISE,PPO1,POINTWISE_PPO1_0_3,200,66438,5,46130.698,1039.935,10,561,239,0.4948537802340412,0.7423079717244525,0.5081668270198912,0.7869875222816399
18/09/2020 10:48:34,POINTWISE,PPO1,POINTWISE_PPO1_0_4,200,1136794,6,753659.708,1049.066,10,562,105,0.48568886629384855,0.6956040024525452,0.526681918318929,0.9065836298932385
18/09/2020 11:01:10,POINTWISE,PPO1,POINTWISE_PPO1_0_5,200,1139109,8,754342.718,970.515,10,97,46,0.4858807709547288,0.7205586754924016,0.5329448677722994,0.7628865979381443
18/09/2020 11:02:49,POINTWISE,PPO1,POINTWISE_PPO1_0_7,200,147438,10,97068.516,756.852,10,20,12,0.4458333333333333,0.7306620209059234,0.5333333333333333,0.7000000000000001
18/09/2020 11:03:10,POINTWISE,PPO1,POINTWISE_PPO1_0_9,200,21287,11,19312.732,755.25,10,28,28,0.49999999999999994,0.781177080632616,0.5357142857142857,0.49999999999999994
18/09/2020 11:03:39,POINTWISE,PPO1,POINTWISE_PPO1_0_10,200,32521,13,27780.287,800.361,10,96,84,0.5426587301587301,0.8051018909246301,0.5156250000000001,0.5625000000000001
18/09/2020 11:05:20,POINTWISE,PPO1,POINTWISE_PPO1_0_12,200,145631,15,99674.26,769.404,10,51,35,0.653501400560224,0.9151473883055836,0.5431372549019607,0.6568627450980391
18/09/2020 11:06:14,POINTWISE,PPO1,POINTWISE_PPO1_0_14,200,68058,17,51309.819,1246.279,10,472,72,0.5644126647834276,0.7765464203383005,0.4938206214689265,0.9237288135593221
18/09/2020 11:16:31,POINTWISE,PPO1,POINTWISE_PPO1_0_16,200,932921,18,615361.135,1117.2,10,610,43,0.43044224170796797,0.7536206193339084,0.4851887152115898,0.9647540983606557
18/09/2020 11:30:21,POINTWISE,PPO1,POINTWISE_PPO1_0_17,200,1250825,19,829062.81,757.29,10,7,1,0.07142857142857142,0.6928571428571428,0.21428571428571433,0.9285714285714286
18/09/2020 11:30:36,POINTWISE,PPO1,POINTWISE_PPO1_0_18,200,5330,21,12935.258,776.503,10,42,18,0.5489417989417988,0.7756888802032441,0.5476190476190476,0.7857142857142857
18/09/2020 11:31:23,POINTWISE,PPO1,POINTWISE_PPO1_0_20,200,53695,25,45256.707,807.821,10,93,34,0.5898165717900063,0.7149442668438187,0.5686274509803921,0.8172043010752688
18/09/2020 11:33:04,POINTWISE,PPO1,POINTWISE_PPO1_0_24,200,140228,26,100051.358,764.998,10,14,1,0.6071428571428571,0.7399014778325124,0.10714285714285711,0.9642857142857143
18/09/2020 11:33:27,POINTWISE,PPO1,POINTWISE_PPO1_0_25,200,13460,28,20610.16,747.3,10,11,5,0.7727272727272727,0.9426877470355731,0.6818181818181818,0.7727272727272727
18/09/2020 11:33:47,POINTWISE,PPO1,POINTWISE_PPO1_0_27,200,9810,32,18463.512,1245.472,10,384,50,0.5920833333333334,0.7592754124938781,0.5717708333333335,0.9348958333333334
18/09/2020 11:42:04,POINTWISE,PPO1,POINTWISE_PPO1_0_31,200,736125,34,495584.799,748.716,10,15,10,0.6466666666666666,0.9080645161290323,0.5333333333333333,0.6666666666666666
18/09/2020 11:42:29,POINTWISE,PPO1,POINTWISE_PPO1_0_33,200,14720,36,23256.8,742.482,10,10,1,0.8500000000000001,0.8415584415584415,0.8500000000000001,0.9500000000000001
18/09/2020 11:42:49,POINTWISE,PPO1,POINTWISE_PPO1_0_35,200,8643,38,19210.238,743.4,10,21,15,0.5095238095238096,0.7792207792207793,0.5349206349206349,0.6428571428571429
18/09/2020 11:43:21,POINTWISE,PPO1,POINTWISE_PPO1_0_37,200,22647,39,30319.914,737.193,10,19,13,0.6093117408906882,0.8323886639676114,0.423076923076923,0.6578947368421052
18/09/2020 11:43:52,POINTWISE,PPO1,POINTWISE_PPO1_0_38,200,19942,40,28561.123,739.232,10,11,10,0.5454545454545454,1.0,0.5545454545454545,0.5454545454545454
18/09/2020 11:44:15,POINTWISE,PPO1,POINTWISE_PPO1_0_39,200,9810,44,21858.447,731.796,10,6,3,0.7500000000000001,0.967032967032967,0.4166666666666667,0.7500000000000001
18/09/2020 11:44:35,POINTWISE,PPO1,POINTWISE_PPO1_0_43,200,4301,46,18385.48,922.93,10,368,33,0.5987730566534915,0.7604040915637756,0.4477519762845849,0.9551630434782609
18/09/2020 11:52:30,POINTWISE,PPO1,POINTWISE_PPO1_0_45,200,700934,47,473753.841,1011.34,10,548,56,0.41925182481751827,0.716389446678816,0.45154457768508866,0.9489051094890512
18/09/2020 12:05:13,POINTWISE,PPO1,POINTWISE_PPO1_0_46,200,1106744,48,761441.686,833.809,10,40,3,0.6458333333333333,0.8995934959349593,0.2541666666666667,0.9624999999999999
18/09/2020 12:06:10,POINTWISE,PPO1,POINTWISE_PPO1_0_47,200,50575,49,54183.25,890.872,10,252,35,0.68078231292517,0.8054940897816489,0.48849206349206353,0.9305555555555556
18/09/2020 12:11:26,POINTWISE,PPO1,POINTWISE_PPO1_0_48,200,452454,52,314506.667,855.26,10,87,25,0.452183908045977,0.7238826690550828,0.6089655172413794,0.8563218390804598
18/09/2020 12:13:15,POINTWISE,PPO1,POINTWISE_PPO1_0_51,200,129507,53,107239.581,770.377,10,16,2,0.71875,0.8656417112299465,0.8125,0.9375
