timestamp,mode,algo,model_name,episodes,steps,cycle_id,training_time,testing_time,winsize,test_cases,failed_test_cases, apfd, nrpa, random_apfd, optimal_apfd
17/09/2020 04:26:18,POINTWISE,PPO1,POINTWISE_PPO1_0_2,200,32521,4,22624.935,924.603,10,58,1,0.008620689655172414,0.7250370903205503,1.0086206896551724,0.9913793103448275
17/09/2020 04:27:12,POINTWISE,PPO1,POINTWISE_PPO1_0_3,200,79552,7,53234.965,812.038,10,25,1,0.98,0.7380995475113122,0.5800000000000001,0.98
17/09/2020 04:27:35,POINTWISE,PPO1,POINTWISE_PPO1_0_6,200,28219,8,21381.164,764.078,10,31,1,0.9516129032258065,0.7381912442396313,0.20967741935483875,0.9838709677419355
17/09/2020 04:28:04,POINTWISE,PPO1,POINTWISE_PPO1_0_7,200,36916,10,27463.619,811.172,10,30,4,0.8416666666666667,0.8136435748281332,0.4166666666666667,0.9333333333333333
17/09/2020 04:28:33,POINTWISE,PPO1,POINTWISE_PPO1_0_9,200,35441,11,27139.199,797.162,10,59,4,0.6398305084745762,0.7582680529839054,0.6398305084745762,0.9661016949152542
17/09/2020 04:29:33,POINTWISE,PPO1,POINTWISE_PPO1_0_10,200,81215,12,57877.832,803.896,10,90,9,0.7685185185185185,0.8012547305364985,0.6759259259259259,0.95
17/09/2020 04:31:08,POINTWISE,PPO1,POINTWISE_PPO1_0_11,200,134853,13,93759.888,767.237,10,28,1,0.7321428571428572,0.7754731656728027,0.08928571428571425,0.9821428571428572
17/09/2020 04:31:39,POINTWISE,PPO1,POINTWISE_PPO1_0_12,200,32521,14,28910.435,760.167,10,27,1,0.7222222222222222,0.7655122655122655,0.9444444444444444,0.9814814814814815
17/09/2020 04:32:10,POINTWISE,PPO1,POINTWISE_PPO1_0_13,200,31076,17,29359.568,811.037,10,33,3,0.7424242424242424,0.7649453268417272,0.3686868686868686,0.9545454545454546
17/09/2020 04:32:47,POINTWISE,PPO1,POINTWISE_PPO1_0_16,200,39893,18,35253.492,761.581,10,33,1,0.3787878787878788,0.7421981004070556,0.0757575757575757,0.9848484848484849
17/09/2020 04:33:24,POINTWISE,PPO1,POINTWISE_PPO1_0_17,200,39893,23,35933.624,813.224,10,33,4,0.6287878787878788,0.8322292281905979,0.5984848484848484,0.9393939393939393
17/09/2020 04:34:02,POINTWISE,PPO1,POINTWISE_PPO1_0_22,200,39893,24,36127.311,764.472,10,35,1,0.5857142857142856,0.8473507712944333,0.35714285714285715,0.9857142857142857
17/09/2020 04:34:42,POINTWISE,PPO1,POINTWISE_PPO1_0_23,200,42904,30,38850.042,1070.921,10,40,1,0.41250000000000003,0.7700542005420055,0.8624999999999999,0.9874999999999999
17/09/2020 04:35:27,POINTWISE,PPO1,POINTWISE_PPO1_0_29,200,50575,31,43387.861,829.711,10,51,5,0.42549019607843136,0.7773140622940737,0.5,0.9509803921568627
17/09/2020 04:36:26,POINTWISE,PPO1,POINTWISE_PPO1_0_30,200,68058,32,56848.808,830.068,10,160,11,0.5258522727272728,0.7748693910721541,0.3235795454545454,0.9656250000000001
17/09/2020 04:39:32,POINTWISE,PPO1,POINTWISE_PPO1_0_31,200,266301,33,184748.272,808.4,10,113,5,0.30530973451327437,0.7258955739901389,0.6805309734513275,0.9778761061946902
17/09/2020 04:41:41,POINTWISE,PPO1,POINTWISE_PPO1_0_32,200,176736,34,126888.966,784.193,10,60,51,0.5495098039215687,0.7930226256604797,0.5109477124183006,0.575
17/09/2020 04:42:49,POINTWISE,PPO1,POINTWISE_PPO1_0_33,200,82882,35,66745.048,783.719,10,62,53,0.5308886183810103,0.7773640552995392,0.5290626902008522,0.5725806451612903
17/09/2020 04:44:01,POINTWISE,PPO1,POINTWISE_PPO1_0_34,200,86232,36,70433.84,825.238,10,54,49,0.5236205593348451,0.7388193865258086,0.530045351473923,0.5462962962962963
17/09/2020 04:45:05,POINTWISE,PPO1,POINTWISE_PPO1_0_35,200,72952,38,62637.049,864.116,10,124,10,0.5145161290322581,0.732713563933152,0.6403225806451612,0.9596774193548387
17/09/2020 04:47:32,POINTWISE,PPO1,POINTWISE_PPO1_0_37,200,197264,39,144996.132,1147.778,10,43,1,0.12790697674418602,0.7339432820587592,0.33720930232558144,0.9883720930232558
17/09/2020 04:48:27,POINTWISE,PPO1,POINTWISE_PPO1_0_38,200,55265,40,53323.858,803.673,10,112,53,0.24637803234501346,0.5865718499789296,0.4977257412398922,0.7633928571428571
17/09/2020 04:50:38,POINTWISE,PPO1,POINTWISE_PPO1_0_39,200,174884,41,129630.642,901.531,10,203,2,0.9285714285714286,0.7437110063884912,0.5073891625615764,0.9950738916256158
17/09/2020 04:54:46,POINTWISE,PPO1,POINTWISE_PPO1_0_40,200,351812,42,246499.886,761.334,10,29,1,0.017241379310344827,0.8430157802454705,0.08620689655172417,0.9827586206896552
17/09/2020 04:55:28,POINTWISE,PPO1,POINTWISE_PPO1_0_41,200,33976,45,40004.806,834.655,10,74,8,0.33952702702702703,0.6694721567204789,0.47972972972972977,0.9459459459459459
17/09/2020 04:56:59,POINTWISE,PPO1,POINTWISE_PPO1_0_44,200,106699,50,88875.942,1295.064,10,103,1,0.31553398058252424,0.7523865960970224,0.383495145631068,0.9951456310679612
17/09/2020 04:59:02,POINTWISE,PPO1,POINTWISE_PPO1_0_49,200,158341,51,122178.772,787.12,10,74,31,0.6889712292938099,0.8486631598040995,0.5438099389712293,0.7905405405405406
17/09/2020 05:00:34,POINTWISE,PPO1,POINTWISE_PPO1_0_50,200,106699,52,89614.38,835.714,10,69,30,0.6729468599033817,0.8366414942580097,0.5115942028985507,0.782608695652174
17/09/2020 05:02:00,POINTWISE,PPO1,POINTWISE_PPO1_0_51,200,98097,55,84883.923,792.628,10,80,1,0.49375,0.7948355187485622,0.35624999999999996,0.99375
17/09/2020 05:03:40,POINTWISE,PPO1,POINTWISE_PPO1_0_54,200,117150,61,98349.598,838.451,10,74,1,0.9256756756756757,0.6839833121712316,0.3310810810810811,0.9932432432432433
17/09/2020 05:05:13,POINTWISE,PPO1,POINTWISE_PPO1_0_60,200,106699,62,91728.712,838.356,10,71,1,0.8943661971830986,0.6944006697527825,0.28873239436619713,0.9929577464788732
17/09/2020 05:06:45,POINTWISE,PPO1,POINTWISE_PPO1_0_61,200,101526,63,90056.967,838.0,10,76,1,0.875,0.6860734724511814,0.5986842105263157,0.9934210526315789
17/09/2020 05:08:23,POINTWISE,PPO1,POINTWISE_PPO1_0_62,200,110168,64,95521.107,787.55,10,71,1,0.8943661971830986,0.6742588397517975,0.7394366197183099,0.9929577464788732
17/09/2020 05:09:53,POINTWISE,PPO1,POINTWISE_PPO1_0_63,200,101526,65,88827.184,808.066,10,32,3,0.41145833333333337,0.7475524475524475,0.7552083333333333,0.953125
17/09/2020 05:10:44,POINTWISE,PPO1,POINTWISE_PPO1_0_64,200,38400,66,49959.606,768.025,10,47,1,0.8191489361702128,0.7090985442329227,0.2234042553191489,0.9893617021276595
17/09/2020 05:11:50,POINTWISE,PPO1,POINTWISE_PPO1_0_65,200,61613,67,64218.918,785.557,10,74,2,0.6756756756756757,0.8063268637765282,0.4324324324324324,0.9864864864864865
17/09/2020 05:13:28,POINTWISE,PPO1,POINTWISE_PPO1_0_66,200,106699,68,95418.237,791.504,10,75,1,0.07333333333333332,0.791990240501917,0.34,0.9933333333333334
17/09/2020 05:15:04,POINTWISE,PPO1,POINTWISE_PPO1_0_67,200,108432,78,95362.523,767.489,10,35,1,0.9857142857142857,0.7786049631120053,0.7285714285714285,0.9857142857142857
17/09/2020 05:16:02,POINTWISE,PPO1,POINTWISE_PPO1_0_77,200,42904,80,55472.898,837.407,10,74,1,0.47972972972972977,0.695846181752222,0.10135135135135138,0.9932432432432433
17/09/2020 05:17:39,POINTWISE,PPO1,POINTWISE_PPO1_0_79,200,106699,83,96006.84,875.844,10,145,74,0.2551724137931034,0.5484175720358998,0.5197576887232059,0.7448275862068966
17/09/2020 05:20:41,POINTWISE,PPO1,POINTWISE_PPO1_0_82,200,237217,84,180612.703,835.821,10,74,74,0.49999999999999994,0.7670451659713404,0.5135135135135136,0.49999999999999994
17/09/2020 05:22:21,POINTWISE,PPO1,POINTWISE_PPO1_0_83,200,106699,85,97566.285,840.692,10,74,74,0.49999999999999994,0.7202539452203882,0.5135135135135136,0.49999999999999994
17/09/2020 05:24:03,POINTWISE,PPO1,POINTWISE_PPO1_0_84,200,106699,86,101010.412,851.826,10,74,74,0.49999999999999994,0.7905314710683838,0.5135135135135136,0.49999999999999994
17/09/2020 05:25:45,POINTWISE,PPO1,POINTWISE_PPO1_0_85,200,106699,89,100064.059,792.312,10,76,2,0.4473684210526316,0.6905566054172866,0.7960526315789473,0.9868421052631579
17/09/2020 05:27:28,POINTWISE,PPO1,POINTWISE_PPO1_0_88,200,110168,90,101872.218,787.682,10,76,8,0.3519736842105264,0.7125567930521491,0.4868421052631579,0.9473684210526315
17/09/2020 05:29:11,POINTWISE,PPO1,POINTWISE_PPO1_0_89,200,110168,94,101632.423,782.875,10,74,1,0.5337837837837838,0.6965136949029567,0.3310810810810811,0.9932432432432433
17/09/2020 05:30:54,POINTWISE,PPO1,POINTWISE_PPO1_0_93,200,106699,98,100909.663,791.876,10,75,72,0.48000000000000004,0.6608574416172882,0.5027777777777778,0.52
17/09/2020 05:32:39,POINTWISE,PPO1,POINTWISE_PPO1_0_97,200,108432,99,103474.646,758.031,10,19,15,0.4473684210526315,0.6518218623481782,0.5140350877192982,0.6052631578947368
17/09/2020 05:33:26,POINTWISE,PPO1,POINTWISE_PPO1_0_98,200,19942,100,45715.238,773.167,10,57,34,0.5082559339525284,0.7442121044740787,0.49587203302373584,0.7017543859649122
17/09/2020 05:34:52,POINTWISE,PPO1,POINTWISE_PPO1_0_99,200,77894,101,84816.722,838.274,10,76,72,0.5115131578947367,0.7209065444359563,0.5062134502923976,0.5263157894736842
17/09/2020 05:36:41,POINTWISE,PPO1,POINTWISE_PPO1_0_100,200,110168,102,106718.094,791.483,10,76,72,0.47386695906432746,0.6587524962137965,0.5190058479532164,0.5263157894736842
17/09/2020 05:38:29,POINTWISE,PPO1,POINTWISE_PPO1_0_101,200,110168,103,107134.465,850.481,10,76,72,0.47368421052631576,0.6582633053221288,0.5314327485380117,0.5263157894736842
