timestamp,mode,algo,model_name,episodes,steps,cycle_id,training_time,testing_time,winsize,test_cases,failed_test_cases, apfd, nrpa, random_apfd, optimal_apfd
17/08/2020 22:45:59,PAIRWISE,PPO2,PAIRWISE_PPO2_0_66,1000,28000,919d3ec4adbaf64cb6b7e9f40f82432b2159d510,988.651,708.415,4,27,0,0,0.6714285714285714,0,0
timestamp,mode,algo,model_name,episodes,steps,cycle_id,training_time,testing_time,winsize,test_cases,failed_test_cases, apfd, nrpa, random_apfd, optimal_apfd
17/08/2020 22:47:59,PAIRWISE,PPO2,PAIRWISE_PPO2_0_66,1000,28000,919d3ec4adbaf64cb6b7e9f40f82432b2159d510,1027.44,713.603,4,27,0,0,0.6744588744588744,0,0
17/08/2020 22:49:55,PAIRWISE,PPO2,PAIRWISE_PPO2_0_67,1000,351000,bdf8e5c049a7f6bbe706c6d35bff55a79bba1e65,114648.587,682.392,4,9,0,0,0.7017543859649122,0,0
17/08/2020 22:49:58,PAIRWISE,PPO2,PAIRWISE_PPO2_0_68,1000,36000,00530c91c80b6b926beb5b6f9c11127403407543,1204.721,855.032,4,30,0,0,0.9395029085140137,0,0
17/08/2020 22:51:16,PAIRWISE,PPO2,PAIRWISE_PPO2_0_84,1000,435000,1e2151c26bccea33125da79e7c616c2c55edc855,76234.948,819.277,4,8,0,0,0.8921568627450981,0,0
17/08/2020 22:51:18,PAIRWISE,PPO2,PAIRWISE_PPO2_0_87,1000,28000,fb78cbb077f6b0b6405ab0c7d74c7c3cce29bf9b,1232.559,666.07,4,8,0,0,0.9558823529411765,0,0
17/08/2020 22:51:21,PAIRWISE,PPO2,PAIRWISE_PPO2_0_88,1000,28000,453c56cff0dbbc0ecefaa7f20b8df6d11d6d12ec,1310.646,705.028,4,14,0,0,0.9527093596059113,0,0
17/08/2020 22:51:25,PAIRWISE,PPO2,PAIRWISE_PPO2_0_106,1000,91000,d66b439c93f7d370d42b21b0d9b86446919880a8,2503.592,687.484,4,18,0,0,0.9506875296348981,0,0
17/08/2020 22:51:36,PAIRWISE,PPO2,PAIRWISE_PPO2_0_109,1000,153000,759b3707f3f4a1e5eedbce479dccb0ec70237656,10139.445,872.418,4,31,0,0,0.8552227342549923,0,0
17/08/2020 22:52:12,PAIRWISE,PPO2,PAIRWISE_PPO2_0_110,1000,465000,e23e8e1df17a81b42073334a80fb896c67704522,33824.042,676.457,4,20,0,0,0.8142857142857143,0,0
17/08/2020 22:52:17,PAIRWISE,PPO2,PAIRWISE_PPO2_0_111,1000,190000,b0083b6f74be80bcf7b8bba77ad1dc56688a152f,4444.397,693.332,4,19,0,0,0.6882591093117408,0,0
17/08/2020 22:52:23,PAIRWISE,PPO2,PAIRWISE_PPO2_0_112,1000,171000,f282e951f122c9d4a8d65d92cab1949a98da786c,4343.254,678.193,4,17,0,0,0.7092436974789916,0,0
17/08/2020 22:52:28,PAIRWISE,PPO2,PAIRWISE_PPO2_0_117,1000,136000,7c622a0022c15d145decebe7bb9a6c8055b4557c,3677.923,784.061,4,9,0,0,0.5614035087719298,0,0
17/08/2020 22:52:32,PAIRWISE,PPO2,PAIRWISE_PPO2_0_118,1000,36000,8f868d0c53820812f0298e53ee60c0cdddfbf8b2,1865.472,812.076,4,10,0,0,0.9116883116883117,0,0
17/08/2020 22:52:35,PAIRWISE,PPO2,PAIRWISE_PPO2_0_119,1000,45000,5819f2dbf638dd4befb1803e0e99dfe48a84f73d,2069.523,812.281,4,21,0,0,0.7934158864391423,0,0
17/08/2020 22:53:28,PAIRWISE,PPO2,PAIRWISE_PPO2_0_121,1000,210000,778eb5418ac6627e67ffd69252d45f8f9fb2284a,51637.785,701.423,4,12,0,0,0.9753846153846154,0,0
17/08/2020 22:53:32,PAIRWISE,PPO2,PAIRWISE_PPO2_0_122,1000,66000,622088ba07b5b9452b73e2b2867549540e431732,2634.818,641.93,4,6,0,0,0.7912087912087912,0,0
